English,French
bother,ennuyer
bottle,bouteille
bottom,fond
bottom,fond
bounce,rebondir
bound,lié
boundary,frontière
bow,arc
bow,arc
bowl,cuvette
box,boîte
boy,garçon
boyfriend,petit ami
brain,cerveau
branch,branche
brand,marque
brand,marque
brave,courageux
breach,brèche
breach,brèche
bread,pain
break,pause
break,pause
breakdown,répartition
breakfast,petit déjeuner
breakthrough,percée
breast,sein
breath,souffle
breathe,respirer
breathing,la respiration
breed,race
breed,race
brick,brique
bride,mariée
bridge,pont
brief,bref
briefly,brièvement
bright,lumineux
brilliant,brillant
bring,apporter
broad,large
broadband,haut débit
broadcast,diffusion
broadcast,diffusion
broadcaster,diffuseur
broadly,largement
broken,cassé
brother,frère
brown,marron
brown,marron
browser,navigateur
brush,brosse
brush,brosse
brutal,brutal
bubble,bulle
buck,mâle
buddy,copain
budget,budget
buffer,tampon
bug,insecte
build,construire
building,bâtiment
bulk,en vrac
bullet,balle
bunch,grappe
burden,charge
bureaucracy,bureaucratie
burial,enterrement
burn,brûler
burn,brûler
burst,éclatement
bury,enterrer
bus,bus
bush,buisson
business,entreprise
businessman,homme d'affaires
busy,occupé
but,mais
but,mais
butter,beurre
button,bouton
buy,acheter
by,par
by,par
bye,au revoir
cabin,cabine
cabinet,armoire
cable,câble
cafe,café
cake,gâteau
calculate,calculer
calculation,calcul
call,appel
call,appel
calm,calme
calm,calme
calm,calme
camera,caméra
camp,camp
camp,camp
campaign,campagne
campaign,campagne
camping,camping
campus,campus
can,peut
can,peut
canal,canal
cancel,annuler
cancer,cancer
candidate,candidat
candle,bougie
cannot,ne peut pas
canvas,toile
cap,capuchon
capability,capacité
capable,capable
capacity,capacité
capital,capital
capital,capital
capitalism,capitalisme
capitalist,capitaliste
captain,capitaine
capture,capturer
capture,capturer
car,voiture
carbon,carbone
card,carte
care,soins
care,soins
career,carrière
careful,prudent
carefully,avec soin
careless,insouciant
cargo,cargaison
carpet,tapis
carriage,transport
carrot,carotte
carry,transporter
cartoon,dessin animé
carve,sculpter
case,cas
cash,argent liquide
casino,casino
cast,moulage
cast,moulage
castle,château
casual,décontracté
casualty,victime
cat,chat
catalogue,catalogue
catch,attraper
catch,attraper
category,catégorie
cater,théâtre
cattle,bétail
cause,cause
cause,cause
caution,prudence
cautious,prudent
cave,grotte
CD,CD
cease,cesser
ceiling,plafond
celebrate,célébrer
celebration,célébration
celebrity,célébrité
cell,cellule
cemetery,cimetière
cent,cent
central,central
centre,centre
centre,centre
century,siècle
ceremony,cérémonie
certain,certain
certainly,certainement
certainty,certitude
certificate,certificat
chain,chaîne
chain,chaîne
chair,chaise
chair,chaise
chairman,président
challenge,défi
challenge,défi
challenging,stimulant
chamber,chambre
champion,champion
championship,championnat
chance,chance
change,changer
change,changer
channel,canal
chaos,chaos
chapter,chapitre
character,caractère
characteristic,caractéristique
characteristic,caractéristique
characterize,caractériser
charge,charge
charge,charge
charity,charité
charm,charme
charming,charmant
chart,tableau
chart,tableau
charter,charte
chase,poursuite
chase,poursuite
chat,chat
chat,chat
cheap,bon marché
cheap,bon marché
cheat,tricheur
cheat,tricheur
check,vérifier
check,vérifier
cheek,joue
cheer,encourager
cheer,encourager
cheerful,joyeux
cheese,fromage
chef,chef
chemical,chimique
chemical,chimique
chemistry,chimie
chest,poitrine
chicken,poulet
chief,chef
chief,chef
child,enfant
childhood,l'enfance
chip,puce
chocolate,chocolat
choice,choix
choir,chorale
choose,choisir
chop,coupe
chronic,chronique
chunk,morceau
church,église
cigarette,cigarette
cinema,cinéma
circle,cercle
circle,cercle
circuit,circuit
circulate,faire circuler
circulation,circulation
circumstance,circonstance
cite,citer
citizen,citoyen
citizenship,la citoyenneté
city,ville
civic,civique
civil,civile
civilian,civile
civilian,civile
civilization,civilisation
claim,réclamer
claim,réclamer
clarify,clarifier
clarity,clarté
clash,choc
class,classe
classic,classique
classic,classique
classical,classique
classification,classification
classify,classer
classroom,salle de classe
clause,clause
clean,propre
clean,propre
cleaning,nettoyage
clear,clair
clear,clair
clearly,clairement
clerk,greffier
clever,astucieux
click,cliquer
click,cliquer
client,client
cliff,falaise
climate,le climat
climb,grimper
climb,grimper
cling,s'accrocher
clinic,clinique
clinical,clinique
clip,clip
clock,horloge
close,fermer
close,fermer
close,fermer
close,fermer
closed,fermé
closely,étroitement
closure,fermeture
cloth,tissu
clothes,vêtements
clothing,vêtements
cloud,nuage
club,club
clue,indice
cluster,groupe
coach,entraîneur
coach,entraîneur
coal,charbon
coalition,coalition
coast,côte
coastal,côtière
coat,manteau
cocktail,cocktail
code,code
coffee,café
cognitive,cognitif
coin,pièce de monnaie
coincide,coïncider
coincidence,coïncidence
cold,froid
cold,froid
collaborate,collaborer
collaboration,collaboration
collapse,effondrement
collapse,effondrement
colleague,collègue
collect,collecter
collection,collection
collective,collectif
collector,collecteur
college,collège
collision,collision
colonial,colonial
colony,colonie
colour,couleur
coloured,coloré
colourful,coloré
column,colonne
columnist,chroniqueur
combat,combat
combat,combat
combination,combinaison
combine,combiner
come,venir
comedy,comédie
comfort,le confort
comfort,le confort
comfortable,confortable
comic,comique
comic,comique
command,commande
command,commande
commander,commandant
commence,commencer
comment,commentaire
comment,commentaire
commentary,commentaire
commentator,commentateur
commerce,commerce
commercial,commercial
commercial,commercial
commission,Commission
commission,Commission
commissioner,commissaire
commit,s'engager
commitment,engagement
committee,commission
commodity,produit de base
common,commun
commonly,communément
communicate,communiquer
communication,communication
communist,communiste
community,communauté
companion,compagnon
company,entreprise
comparable,comparable
comparative,comparatif
compare,comparer
comparison,comparaison
compassion,la compassion
compel,contraindre
compelling,contraignant
compensate,compenser
compensation,compensation
compete,concourir
competence,compétence
competent,compétent
competition,concurrence
competitive,compétitif
competitor,concurrent
compile,compiler
complain,se plaindre
complaint,plainte
complement,compléter
complete,complet
complete,complet
completely,complètement
completion,achèvement
complex,complexe
complex,complexe
complexity,la complexité
compliance,conformité
complicated,compliqué
complication,complication
comply,se conformer
component,composante
compose,composer
composer,compositeur
composition,composition
compound,composé
comprehensive,complet
comprise,comprendre
compromise,compromis
compromise,compromis
compulsory,obligatoire
compute,calculer
computer,ordinateur
conceal,dissimuler
concede,concéder
conceive,concevoir
concentrate,se concentrer
concentration,concentration
concept,concept
conception,conception
concern,préoccupation
concern,préoccupation
concerned,concernés
concert,concert
concession,concession
conclude,conclure
conclusion,conclusion
concrete,béton
concrete,béton
condemn,condamner
condition,condition
conduct,conduite
conduct,conduite
confer,conférer
conference,conférence
confess,avouer
confession,confession
confidence,confiance
confident,confiant
configuration,configuration
confine,enfermer
confirm,confirmer
confirmation,confirmation
conflict,conflit
conflict,conflit
confront,confronter
confrontation,confrontation
confuse,confondre
confused,confus
confusing,déroutant
confusion,confusion
congratulate,féliciter
congregation,congrégation
congressional,Congrès
connect,relier
connected,connecté
connection,connexion
conquer,conquérir
conscience,conscience
conscious,conscient
consciousness,la conscience
consecutive,consécutifs
consensus,consensus
consent,consentement
consent,consentement
consequence,conséquence
consequently,en conséquence
conservation,conservation
conservative,conservateur
conservative,conservateur
conserve,conserver
consider,considérer
considerable,considérable
considerably,considérablement
consideration,considération
consist,consister
consistency,cohérence
consistent,cohérent
consistently,de manière cohérente
consolidate,consolider
conspiracy,complot
constant,constant
constantly,en permanence
constituency,circonscription
constitute,constituer
constitution,constitution
constitutional,constitutionnel
constraint,contrainte
construct,construire
construction,construction
consult,consulter
consultant,consultant
consultation,consultation
consume,consommer
consumer,consommateur
consumption,la consommation
contact,contact
contact,contact
contain,contenir
container,conteneur
contemplate,contempler
contemporary,contemporain
contempt,mépris
contend,soutenir
contender,concurrent
content,contenu
content,contenu
contention,contention
contest,concours
contest,concours
context,contexte
continent,continent
continually,continuellement
continue,continuer
continuous,continu
contract,contrat
contract,contrat
contractor,entrepreneur
contradiction,contradiction
contrary,contraire
contrary,contraire
contrast,contraste
contrast,contraste
contribute,contribuer
contribution,contribution
contributor,contributeur
control,contrôle
control,contrôle
controversial,controversé
controversy,controverse
convenience,commodité
convenient,pratique
convention,convention
conventional,conventionnel
conversation,conversation
conversion,conversion
convert,convertir
convey,transmettre
convict,condamné
conviction,condamnation
convince,convaincre
convinced,convaincu
convincing,convaincant
cook,cuisiner
cook,cuisiner
cooker,cuisinière
cooking,cuisine
cool,cool
cool,cool
cooperate,coopérer
cooperative,coopérative
coordinate,coordonner
coordination,coordination
coordinator,coordinateur
cop,flic
cope,faire face
copper,cuivre
copy,copie
copy,copie
copyright,droit d'auteur
core,noyau
core,noyau
corner,coin
corporate,d'entreprise
corporation,société
correct,correctes
correct,correctes
correction,correction
correctly,correctement
correlate,corréler
correlation,corrélation
correspond,correspondre
correspondence,correspondance
correspondent,correspondant
corresponding,correspondant
corridor,couloir
corrupt,corrompu
corruption,corruption
cost,coût
cost,coût
costly,coûteux
costume,costume
cottage,chalet
cotton,coton
could,pourrait
council,conseil
councillor,conseiller
counselling,conseil
counsellor,conseiller
count,compter
count,compter
counter,compteur
counter,compteur
counterpart,contrepartie
countless,innombrables
country,pays
countryside,campagne
county,comté
coup,coup d'État
couple,couple
courage,courage
course,cours
court,tribunal
courtesy,courtoisie
cousin,cousin
cover,couverture
cover,couverture
coverage,couverture
covered,couvert
cow,vache
crack,fissure
crack,fissure
craft,artisanat
craft,artisanat
crash,accident
crash,accident
crawl,ramper
crazy,fou
cream,crème
cream,crème
create,créer
creation,création
creative,créatif
creativity,la créativité
creator,créateur
creature,créature
credibility,crédibilité
credible,crédible
credit,crédit
credit,crédit
creep,reptation
crew,équipage
crime,crime
criminal,criminel
criminal,criminel
crisis,crise
criterion,critère
critic,critique
critical,critique
critically,d'un point de vue critique
criticism,critique
criticize,critiquer
critique,critique
crop,culture
cross,croiser
cross,croiser
crowd,foule
crowded,bondé
crown,couronne
crucial,cruciale
crude,brut
cruel,cruel
cruise,croisière
cruise,croisière
crush,béguin
cry,pleurer
cry,pleurer
crystal,cristal
cue,repère
cult,culte
cult,culte
cultivate,cultiver
cultural,culturel
culture,culture
cup,tasse
cupboard,armoire
cure,guérir
cure,guérir
curiosity,curiosité
curious,curieux
curly,frisé
currency,monnaie
current,actuel
current,actuel
currently,actuellement
curriculum,programme d'études
curtain,rideau
curve,courbe
curve,courbe
curved,courbé
custody,garde
custom,sur mesure
customer,client
cut,couper
cut,couper
cute,mignon
cutting,découpage
cycle,cycle
cycle,cycle
cynical,cynique
dad,papa
daily,quotidien
daily,quotidien
dairy,laitier
dairy,laitier
dam,barrage
damage,dommages
damage,dommages
damaging,préjudiciable
dance,danse
dance,danse
dancer,danseur
dancing,la danse
danger,danger
dangerous,dangereux
dare,oser
dark,sombre
dark,sombre
darkness,obscurité
data,données
database,base de données
date,date
date,date
daughter,fille
dawn,aube
day,jour
dead,morts
deadline,délai
deadly,mortel
deal,accord
deal,accord
dealer,concessionnaire
dear,cher
dear,cher
death,la mort
debate,débat
debate,débat
debris,débris
debt,dette
debut,début
decade,décennie
December,Décembre
decent,décent
decide,décider
decision,décision
decision-making,la prise de décision
decisive,décisif
deck,pont
declaration,déclaration
declare,déclarer
decline,déclin
decline,déclin
decorate,décorer
decoration,décoration
decrease,diminuer
decrease,diminuer
dedicated,dédié
dedication,dévouement
deed,acte
deem,estimer
deep,profond
deep,profond
deeply,profondément
default,par défaut
defeat,défaite
defeat,défaite
defect,défaut
defence,défense
defend,défendre
defender,défenseur
defensive,défensif
deficiency,déficience
deficit,déficit
define,définir
definite,définitif
definitely,définitivement
definition,définition
defy,défier
degree,degré
delay,délai
delay,délai
delegate,délégué
delegation,délégation
delete,supprimer
deliberate,délibéré
deliberately,délibérément
delicate,délicate
delicious,délicieux
delight,plaisir
delight,plaisir
delighted,ravie
deliver,livrer
delivery,livraison
demand,demande
demand,demande
democracy,la démocratie
democratic,démocratique
demon,démon
demonstrate,démontrer
demonstration,démonstration
denial,refus
denounce,dénoncer
dense,dense
density,densité
dentist,dentiste
deny,refuser
depart,Départ
department,département
departure,départ
depend,dépendre
dependence,dépendance
dependent,dépendante
depict,représenter
deploy,déployer
deployment,déploiement
deposit,dépôt
deposit,dépôt
depressed,déprimé
depressing,déprimant
depression,dépression
deprive,priver
depth,profondeur
deputy,député
derive,dériver
descend,descendre
descent,descente
describe,décrire
description,description
desert,désert
desert,désert
deserve,mériter
design,conception
design,conception
designate,désigner
designer,concepteur
desirable,souhaitable
desire,désir
desire,désir
desk,bureau
desktop,bureau
desperate,désespéré
desperately,désespérément
despite,malgré
destination,destination
destroy,détruire
destruction,destruction
destructive,destructeur
detail,détail
detail,détail
detailed,détaillée
detain,détenir
detect,détecter
detection,détection
detective,détective
detention,détention
deteriorate,se détériorer
determination,détermination
determine,déterminer
determined,déterminés
devastate,dévaster
develop,développer
development,développement
device,dispositif
devil,diable
devise,concevoir
devote,consacrer
diagnose,diagnostiquer
diagnosis,diagnostic
diagram,diagramme
dialogue,dialogue
diamond,diamant
diary,journal
dictate,dicter
dictator,dictateur
dictionary,dictionnaire
die,mourir
diet,régime
differ,diffèrent
difference,différence
different,différents
differentiate,différencier
differently,différemment
difficult,difficile
difficulty,difficulté
dig,creuser
digital,numérique
dignity,dignité
dilemma,dilemme
dimension,dimension
diminish,diminuer
dinner,dîner
dip,trempette
diplomat,diplomate
diplomatic,diplomatique
direct,direct
direct,direct
direct,direct
direction,direction
directly,directement
director,directeur
directory,répertoire
dirt,saleté
dirty,sale
disability,le handicap
disabled,handicapé
disadvantage,désavantage
disagree,pas d'accord
disagreement,désaccord
disappear,disparaître
disappoint,décevoir
disappointed,déçus
disappointing,décevant
disappointment,déception
disaster,catastrophe
disastrous,désastreux
disc,disque
discard,écarter
discharge,décharge
discipline,discipline
disclose,divulguer
disclosure,divulgation
discount,réduction
discount,réduction
discourage,décourager
discourse,discours
discover,découvrir
discovery,découverte
discretion,discrétion
discrimination,discrimination
discuss,discuter
discussion,discussion
disease,maladie
dish,plat
dishonest,malhonnête
disk,disque
dislike,aversion
dislike,aversion
dismiss,licencier
dismissal,licenciement
disorder,désordre
displace,déplacer
display,affichage
display,affichage
disposal,élimination
dispose,disposer
dispute,litige
dispute,litige
disrupt,perturber
disruption,perturbation
dissolve,dissoudre
distance,distance
distant,éloigné
distinct,distincts
distinction,distinction
distinctive,distinctif
distinguish,distinguer
distort,déformer
distract,distraire
distress,détresse
distress,détresse
distribute,distribuer
distribution,distribution
district,district
disturb,perturber
disturbing,inquiétant
dive,plonger
dive,plonger
diverse,diversifié
diversity,la diversité
divert,détourner
divide,diviser
divide,diviser
divine,divin
division,division
divorce,divorce
divorce,divorce
divorced,divorcé
do,faire
do,faire
doctor,médecin
doctrine,doctrine
document,document
document,document
documentary,documentaire
documentation,la documentation
dog,chien
dollar,dollar
domain,domaine
domestic,domestique
dominance,domination
dominant,dominante
dominate,dominer
donate,donner
donation,don
donor,donateur
door,porte
dose,dose
dot,point
double,double
double,double
double,double
double,double
double,double
doubt,doute
doubt,doute
down,vers le bas
down,vers le bas
download,télécharger
download,télécharger
downstairs,en bas
downstairs,en bas
downtown,centre-ville
downtown,centre-ville
downtown,centre-ville
downwards,vers le bas
dozen,douzaine
dozen,douzaine
draft,projet
draft,projet
drag,traîner
drain,drain
drama,drame
dramatic,dramatique
dramatically,de façon spectaculaire
draw,tirage au sort
drawing,dessin
dream,rêve
dream,rêve
dress,robe
dress,robe
dressed,habillé
drift,dérive
drink,boire
drink,boire
drive,conduire
drive,conduire
driver,conducteur
driving,conduite
driving,conduite
drop,chute
drop,chute
drought,sécheresse
drown,se noyer
drug,drogue
drum,tambour
drunk,ivre
dry,sec
dry,sec
dual,double
dub,dub
due,due
dull,terne
dumb,muet
dump,décharge
duo,duo
duration,durée
during,pendant
dust,poussière
duty,devoir
DVD,DVD
dynamic,dynamique
dynamic,dynamique
each,chacun
each,chacun
each,chacun
eager,impatient
ear,oreille
early,précoce
early,précoce
earn,gagner
earnings,revenus
earth,terre
earthquake,tremblement de terre
ease,faciliter
ease,faciliter
easily,facilement
east,à l'est
east,à l'est
east,à l'est
eastern,de l'Est
easy,facile
eat,manger
echo,écho
echo,écho
ecological,écologique
economic,économique
economics,économie
economist,économiste
economy,économie
edge,bord
edit,éditer
edition,édition
editor,éditeur
editorial,éditorial
educate,éduquer
educated,éduqués
education,l'éducation
educational,éducatif
educator,éducateur
effect,effet
effective,efficace
effectively,efficacement
effectiveness,l'efficacité
efficiency,l'efficacité
efficient,efficace
efficiently,efficacement
effort,effort
egg,œuf
ego,ego
eight,huit
eighteen,dix-huit
eighty,quatre-vingts
either,soit
either,soit
either,soit
elaborate,élaborer
elbow,coude
elderly,personnes âgées
elect,élire
election,élection
electoral,électoral
electric,électrique
electrical,électrique
electricity,électricité
electronic,électronique
electronics,électronique
elegant,élégant
element,élément
elementary,élémentaire
elephant,éléphant
elevate,élever
eleven,onze
eligible,éligibles
eliminate,éliminer
elite,élite
else,autre
elsewhere,ailleurs
email,courriel
email,courriel
embark,embarquer
embarrassed,embarrassé
embarrassing,embarrassant
embarrassment,embarras
embassy,ambassade
embed,embarquer
embody,incarner
embrace,étreinte
emerge,émerger
emergence,l'émergence
emergency,d'urgence
emission,émission
emotion,émotion
emotional,émotionnel
emotionally,sur le plan émotionnel
emphasis,l'accent
emphasize,souligner
empire,empire
empirical,empirique
employ,employer
employee,employé
employer,employeur
employment,l'emploi
empower,responsabiliser
empty,vide
empty,vide
enable,permettre
enact,promulguer
encompass,englober
encounter,rencontre
encounter,rencontre
encourage,encourager
encouragement,encouragement
encouraging,encourageant
end,fin
end,fin
endeavour,effort
ending,fin
endless,sans fin
endorse,approuver
endorsement,approbation
endure,endurer
enemy,ennemi
energy,l'énergie
enforce,faire respecter
enforcement,l'application
engage,s'engager
engaged,engagé
engagement,engagement
engaging,engageant
engine,moteur
engineer,ingénieur
engineering,ingénierie
enhance,améliorer
enjoy,jouir
enjoyable,agréable
enormous,énorme
enough,assez
enough,assez
enough,assez
enquire,se renseigner
enquiry,demande de renseignements
enrich,enrichir
enrol,s'inscrire
ensue,poursuivre
ensure,garantir
enter,entrer
enterprise,entreprise
entertain,divertir
entertaining,divertissant
entertainment,divertissement
enthusiasm,l'enthousiasme
enthusiast,enthousiaste
enthusiastic,enthousiaste
entire,entière
entirely,entièrement
entitle,intituler
entity,entité
entrance,entrée
entrepreneur,entrepreneur
entry,entrée
envelope,enveloppe
environment,l'environnement
environmental,l'environnement
epidemic,épidémie
episode,épisode
equal,égal
equal,égal
equal,égal
equality,l'égalité
equally,également
equation,équation
equip,équiper
equipment,équipement
