English,Ukrainian
aunt,тітка.
authentic,справжній
author,автор
authority,повноваження
authorize,дозволити
auto,авто
automatic,автоматичний
automatically,автоматично
autonomy,автономія
autumn,осінь
availability,доступність
available,доступний
average,середній
average,середній
average,середній
avoid,уникати
await,зачекайте.
award,премія
award,премія
aware,усвідомлюю
awareness,обізнаність
away,геть.
awful,жахливо.
awkward,незручно.
baby,крихітка
back,назад
back,назад
back,назад
back,назад
backdrop,фон
background,фон
backing,підкладка
backup,резервне копіювання
backwards,назад
bacteria,бактерії
bad,поганий
badge,значок
badly,погано.
bag,мішок
bail,застава
bake,пекти
balance,баланс
balance,баланс
balanced,збалансований
ball,м'яч
ballet,балет
balloon,повітряна куля
ballot,бюлетень
ban,заборона
ban,заборона
banana,банан
band,група
bank,банк
banner,банер
bar,бар
bar,бар
bare,голий
barely,ледве
bargain,угода
barrel,бочка
barrier,бар'єр
base,основа
base,основа
baseball,бейсбол
based,на основі
basement,підвал
basic,основний
basically,в основному
basis,основа
basket,кошик
basketball,баскетбол
bass,бас
bat,летюча миша
bat,летюча миша
bath,ванна
bathroom,ванна кімната
battery,батарея
battle,битва
battle,битва
battlefield,поле бою
bay,затока
be,бути
be,бути
beach,пляж
beam,промінь
bean,квасоля
bear,ведмідь
bear,ведмідь
beast,звір
beat,бити
beat,бити
beautiful,прекрасний
beauty,краса
because,тому що
become,стають
bed,ліжко
bedroom,спальня
bee,бджола
beef,яловичина
beer,пиво
before,"до того, як"
before,"до того, як"
before,"до того, як"
beg,благати
begin,починається
beginning,початок
behalf,від імені
behave,поводитися
behaviour,поведінка
behind,позаду
behind,позаду
being,будучи
belief,віра
believe,вірю.
bell,дзвонити
belong,належать
beloved,кохана
below,нижче
below,нижче
belt,ремінь
bench,лавка
benchmark,орієнтир
bend,нахил
bend,нахил
beneath,під
beneficial,корисний
beneficiary,бенефіціар
benefit,вигода
benefit,вигода
bent,зігнутий
beside,поруч з
besides,Крім того.
besides,Крім того.
best,найкращий
best,найкращий
best,найкращий
bet,парі
bet,парі
betray,зраджувати
better,краще
better,краще
better,краще
between,між
between,між
beyond,за межами
beyond,за межами
bias,упередженість
bicycle,велосипед
bid,ставка
bid,ставка
big,великий
bike,велосипед
bill,Рахунок.
bill,Рахунок.
billion,мільярд
bin,смітник
bind,зв'язувати
biography,біографія
biological,біологічний
biology,біологія
bird,птах
birth,народження
birthday,день народження
biscuit,бісквіт
bishop,єпископе
bit,трохи
bite,укус
bite,укус
bitter,гіркий
bizarre,химерний
black,чорний
black,чорний
blade,лезо
blame,звинувачувати
blame,звинувачувати
blank,порожній
blank,порожній
blanket,ковдра
blast,вибух
blast,вибух
bleed,кровоточити
blend,суміш
blend,суміш
bless,Благословляю.
blessing,благословення
blind,сліпий
block,блок
block,блок
blog,блог
blonde,блондинка
blood,кров
blow,удар
blow,удар
blue,синій
blue,синій
board,дошка
board,дошка
boast,хвалитися
boat,човен
body,тіло
boil,кипіти
bold,сміливий
bomb,бомба
bomb,бомба
bombing,бомбардування
bond,зв'язок
bone,кістка
bonus,премія
book,книга
book,книга
booking,бронювання
boom,бум
boost,прискорення
boost,прискорення
boot,черевик
border,кордон
border,кордон
bored,нудьгую.
boring,нудно
born,народився
borrow,позичати
boss,Бос.
both,обидва
both,обидва
bother,турбувати
bottle,пляшка
bottom,дно
bottom,дно
bounce,відскок
bound,зв'язаний
boundary,межа
bow,поклонитися
bow,поклонитися
bowl,чаша
box,ящик
boy,хлопчик
boyfriend,хлопець
brain,мозок
branch,гілка
brand,бренд
brand,бренд
brave,хоробрий
breach,прорив
breach,прорив
bread,хліб
break,перерва
break,перерва
breakdown,поломка
breakfast,сніданок
breakthrough,прорив
breast,груди
breath,дихання
breathe,дихати
breathing,дихання
breed,порода
breed,порода
brick,цегла
bride,наречена
bridge,міст
brief,коротка інформація
briefly,коротко
bright,яскравий
brilliant,блискучий
bring,принести
broad,широка
broadband,широкосмуговий
broadcast,трансляція
broadcast,трансляція
broadcaster,мовник
broadly,в широкому сенсі
broken,розбитий
brother,брат
brown,коричневий
brown,коричневий
browser,браузер
brush,пензлик
brush,пензлик
brutal,жорстокий
bubble,бульбашка
buck,бак
buddy,приятель.
budget,бюджет
buffer,буфер
bug,помилка
build,збірка
building,будівля
bulk,навалом
bullet,куля
bunch,купка
burden,тягар
bureaucracy,бюрократія
burial,поховання
burn,горіти
burn,горіти
burst,вибух
bury,ховати
bus,автобус
bush,кущ
business,бізнес
businessman,бізнесмен
busy,зайнятий
but,але
but,але
butter,масло
button,кнопка
buy,купити
by,до
by,до
bye,Бувай.
cabin,каюта
cabinet,шафа
cable,кабель
cafe,кафе
cake,торт
calculate,обчислити
calculation,розрахунок
call,дзвонити
call,дзвонити
calm,спокій
calm,спокій
calm,спокій
camera,камера
camp,табір
camp,табір
campaign,кампанія
campaign,кампанія
camping,кемпінг
campus,кампус
can,може
can,може
canal,канал
cancel,скасувати
cancer,рак
candidate,кандидат
candle,свічка
cannot,не може
canvas,полотно
cap,шапка
capability,здатність
capable,здатний
capacity,потужність
capital,капітал
capital,капітал
capitalism,капіталізм
capitalist,капіталістичний
captain,Капітане.
capture,захоплення
capture,захоплення
car,машина
carbon,вуглець
card,картка
care,догляд
care,догляд
career,кар'єра
careful,Обережно.
carefully,обережно
careless,недбалий
cargo,вантаж
carpet,килим
carriage,карета
carrot,морква
carry,нести
cartoon,мультфільм
carve,вирізати
case,випадок
cash,готівка
casino,казино
cast,акторський склад
cast,акторський склад
castle,замок
casual,недбалий
casualty,жертва
cat,кішка
catalogue,каталог
catch,улов
catch,улов
category,категорія
cater,обслуговувати
cattle,велика рогата худоба
cause,тому що
cause,тому що
caution,обережність
cautious,обережний
cave,печера
CD,CD
cease,припинити
ceiling,стеля
celebrate,святкувати
celebration,святкування
celebrity,знаменитість
cell,клітина
cemetery,кладовище
cent,цент
central,центральний
centre,центр
centre,центр
century,століття
ceremony,церемонія
certain,певний
certainly,Звичайно.
certainty,впевненість
certificate,сертифікат
chain,ланцюжок
chain,ланцюжок
chair,крісло
chair,крісло
chairman,голова
challenge,виклик
challenge,виклик
challenging,складний
chamber,камера
champion,чемпіон
championship,чемпіонат
chance,шанс
change,зміна
change,зміна
channel,канал
chaos,хаос
chapter,розділ
character,характер
characteristic,характеристика
characteristic,характеристика
characterize,характеризувати
charge,плата
charge,плата
charity,благодійність
charm,чарівність
charming,чарівний
chart,діаграма
chart,діаграма
charter,статут
chase,гонитва
chase,гонитва
chat,чат
chat,чат
cheap,дешево
cheap,дешево
cheat,обманювати
cheat,обманювати
check,перевірка
check,перевірка
cheek,щока
cheer,аплодисменти
cheer,аплодисменти
cheerful,веселий
cheese,сир
chef,шеф-кухар
chemical,хімічний
chemical,хімічний
chemistry,хімія
chest,скриня
chicken,курча
chief,Шеф
chief,Шеф
child,дитина
childhood,дитинство
chip,чіп
chocolate,шоколад
choice,вибір
choir,хор
choose,обирати
chop,відбивна
chronic,хронічний
chunk,шматок
church,церква
cigarette,цигарка
cinema,кінотеатр
circle,коло
circle,коло
circuit,схема
circulate,циркулювати
circulation,тираж
circumstance,обставина
cite,процитувати
citizen,громадянин
citizenship,громадянство
city,місто
civic,громадянський
civil,цивільний
civilian,цивільний
civilian,цивільний
civilization,цивілізація
claim,позовна заява
claim,позовна заява
clarify,з'ясувати
clarity,ясність
clash,зіткнення
class,клас
classic,класичний
classic,класичний
classical,класичний
classification,класифікація
classify,класифікувати
classroom,клас
clause,пункт
clean,чистий
clean,чистий
cleaning,прибирання
clear,ясно
clear,ясно
clearly,Очевидно.
clerk,клерк
clever,розумний
click,клац!
click,клац!
client,клієнт
cliff,скеля
climate,клімат
climb,підніматися
climb,підніматися
cling,чіплятися
clinic,клініка
clinical,клінічний
clip,кліп
clock,годинник
close,близько
close,близько
close,близько
close,близько
closed,закрито
closely,впритул
closure,закриття
cloth,тканина
clothes,одяг
clothing,одяг
cloud,хмара
club,клуб
clue,підказка
cluster,кластер
coach,тренер
coach,тренер
coal,вугілля
coalition,коаліція
coast,узбережжя
coastal,прибережний
coat,пальто
cocktail,коктейль
code,код
coffee,кава
cognitive,пізнавальний
coin,монета
coincide,збігаються
coincidence,збіг
cold,холодний
cold,холодний
collaborate,співпрацювати
collaboration,співпраця
collapse,крах
collapse,крах
colleague,колега
collect,збирати
collection,колекція
collective,колективний
collector,колекціонер
college,коледж
collision,зіткнення
colonial,колоніальний
colony,колонія
colour,колір
coloured,кольоровий
colourful,барвистий
column,колонка
columnist,колумніст
combat,боротьба
combat,боротьба
combination,поєднання
combine,комбайн
come,Ходімо.
comedy,комедія
comfort,комфорт
comfort,комфорт
comfortable,комфортно
comic,комічний
comic,комічний
command,команда
command,команда
commander,Командир
commence,Починаємо.
comment,коментар
comment,коментар
commentary,коментар
commentator,коментатор
commerce,комерція
commercial,рекламний ролик
commercial,рекламний ролик
commission,комісія
commission,комісія
commissioner,комісар
commit,взяти на себе зобов'язання
commitment,прихильність
committee,комітет
commodity,товар
common,спільний
commonly,зазвичай
communicate,спілкуватися
communication,комунікація
communist,комуністичний
community,спільнота
companion,компаньйон
company,компанія
comparable,порівнянний
comparative,порівняльний
compare,порівнювати
comparison,порівняння
compassion,співчуття
compel,примушувати
compelling,переконливою
compensate,компенсувати
compensation,компенсація
compete,змагатися
competence,компетентність
competent,компетентний
competition,змагання
competitive,конкурентоспроможний
competitor,конкурент
compile,компілювати
complain,скаржитися
complaint,скарга
complement,доповнення
complete,повний
complete,повний
completely,повністю
completion,завершення
complex,складний
complex,складний
complexity,складність
compliance,відповідність
complicated,складний
complication,ускладнення
comply,підкорятися
component,компонент
compose,скласти
composer,композитор
composition,склад
compound,з'єднання
comprehensive,всеосяжний
comprise,включають
compromise,компроміс
compromise,компроміс
compulsory,обов'язковий
compute,обчислювати
computer,комп'ютер
conceal,приховати
concede,поступитися.
conceive,зачати
concentrate,концентрат
concentration,концентрація
concept,концепція
conception,зачаття
concern,занепокоєння
concern,занепокоєння
concerned,стурбований
concert,концерт
concession,концесія
conclude,висновок
conclusion,висновок
concrete,бетон
concrete,бетон
condemn,засуджувати
condition,стан
conduct,поведінка
conduct,поведінка
confer,провести нараду
conference,конференція
confess,зізнатися.
confession,сповідь
confidence,впевненість
confident,впевнений у собі
configuration,конфігурація
confine,ув'язнення
confirm,підтвердити
confirmation,підтвердження
conflict,конфлікт
conflict,конфлікт
confront,протистояти
confrontation,протистояння
confuse,збивати з пантелику
confused,збентежений.
confusing,заплутано.
confusion,розгубленість
congratulate,привітати
congregation,громада
congressional,конгресовий
connect,з'єднати
connected,пов'язаний
connection,зв'язок
conquer,завойовувати
conscience,совість
conscious,свідомий
consciousness,свідомість
consecutive,поспіль
consensus,консенсус
consent,згода
consent,згода
consequence,наслідок
consequently,отже
conservation,збереження
conservative,консервативний
conservative,консервативний
conserve,зберігати
consider,розглянути
considerable,значний
considerably,значно
consideration,розгляд
consist,складаються
consistency,консистенція
consistent,послідовний
consistently,послідовно
consolidate,консолідувати
conspiracy,змова
constant,константа
constantly,постійно
constituency,виборчий округ
constitute,становлять
constitution,конституція
constitutional,конституційний
constraint,обмеження
construct,конструкція
construction,будівництво
consult,проконсультуватися
consultant,консультант
consultation,консультація
consume,споживати
consumer,споживач
consumption,споживання
contact,контакт
contact,контакт
contain,містити
container,контейнер
contemplate,споглядати
contemporary,сучасний
contempt,презирство
contend,стверджувати.
contender,претендент
content,зміст
content,зміст
contention,суперечка
contest,конкурс
contest,конкурс
context,контекст
continent,континент
continually,постійно
continue,продовжувати
continuous,безперервний
contract,договір
contract,договір
contractor,підрядник
contradiction,протиріччя
contrary,навпаки.
contrary,навпаки.
contrast,контраст
contrast,контраст
contribute,зробити свій внесок
contribution,внесок
contributor,дописувач
control,контроль
control,контроль
controversial,суперечливий
controversy,суперечка
convenience,зручність
convenient,зручний
convention,конвенція
conventional,звичайний
conversation,розмова
conversion,перетворення
convert,навертатися
convey,передавати
convict,засуджений
conviction,переконання
convince,переконати
convinced,переконаний.
convincing,переконливо
cook,готувати
cook,готувати
cooker,плита
cooking,кулінарія
cool,прохолодно
cool,прохолодно
cooperate,співпрацювати
cooperative,кооператив
coordinate,координата
coordination,координація
coordinator,координатор
cop,поліцейський
cope,впоратися
copper,мідь
copy,копія
copy,копія
copyright,авторське право
core,ядро
core,ядро
corner,куточок
corporate,корпоративний
corporation,корпорація
correct,правильно
correct,правильно
correction,виправлення
correctly,правильно
correlate,корелювати
correlation,кореляція
correspond,листуватися
correspondence,листування
correspondent,кореспондент
corresponding,відповідний
corridor,коридор
corrupt,корумпований
corruption,корупція
cost,вартість
cost,вартість
costly,дорогий
costume,костюм
cottage,котедж
cotton,бавовна
could,міг би
council,рада
councillor,радник
counselling,консультування
counsellor,радник
count,граф
count,граф
counter,лічильник
counter,лічильник
counterpart,колега
countless,незліченна кількість
country,країна
countryside,сільська місцевість
county,графство
coup,переворот
couple,пара
courage,мужність
course,курс
court,суд
courtesy,ввічливість
cousin,кузен.
cover,обкладинка
cover,обкладинка
coverage,охоплення
covered,покритий
cow,корова
crack,тріщина
crack,тріщина
craft,ремесло
craft,ремесло
crash,аварія
crash,аварія
crawl,повзати
crazy,божевільний.
cream,вершки
cream,вершки
create,створювати
creation,створення
creative,креативний
creativity,творчість
creator,творець
creature,істота
credibility,довіра
credible,достовірним
credit,кредит
credit,кредит
creep,виродок.
crew,екіпаж
crime,злочин
criminal,злочинець
criminal,злочинець
crisis,криза
criterion,критерій
critic,критик
critical,критичний
critically,критично
criticism,критика
criticize,критикувати
critique,критика
crop,урожай
cross,хрест
cross,хрест
crowd,натовп
crowded,переповнені
crown,корона
crucial,вирішальний
crude,сирий
cruel,жорстокий
cruise,круїз
cruise,круїз
crush,тиснява
cry,плакати
cry,плакати
crystal,кришталь
cue,кий
cult,культ
cult,культ
cultivate,культивувати
cultural,культурний
culture,культура
cup,чашка
cupboard,шафа
cure,ліки
cure,ліки
curiosity,цікавість
curious,допитливий.
curly,кучерявий
currency,валюта
current,поточний
current,поточний
currently,в даний час
curriculum,навчальна програма
curtain,завіса
curve,крива
curve,крива
curved,вигнутий
custody,опіка
custom,звичай
customer,клієнт
cut,вирізати
cut,вирізати
cute,милий
cutting,різання
cycle,цикл
cycle,цикл
cynical,цинічний
dad,Тату.
daily,щодня
daily,щодня
dairy,молочний
dairy,молочний
dam,дамба
damage,пошкодження
damage,пошкодження
damaging,руйнівний
dance,танцювати
dance,танцювати
dancer,танцівниця
dancing,танці
danger,небезпека
dangerous,небезпечний
dare,наважитися
dark,темний
dark,темний
darkness,темрява
data,дані
database,база даних
date,дата
date,дата
daughter,дочка
dawn,світанок
day,день
dead,мертвий.
deadline,дедлайн
deadly,смертельно небезпечні.
deal,угода
deal,угода
dealer,дилер
dear,дорогенька.
dear,дорогенька.
death,смерть
debate,дебати
debate,дебати
debris,сміття
debt,борг
debut,дебют
decade,десятиліття
December,Грудень
decent,пристойний
decide,вирішити
decision,рішення
decision-making,прийняття рішень
decisive,вирішальний
deck,палуба
declaration,декларація
declare,заявляю.
decline,занепад
decline,занепад
decorate,прикрашати
decoration,оздоблення
decrease,зменшення
decrease,зменшення
dedicated,відданий
dedication,відданість
deed,вчинок
deem,вважаю.
deep,глибоко
deep,глибоко
deeply,глибоко
default,за замовчуванням
defeat,поразка
defeat,поразка
defect,дефект
defence,оборона
defend,захищати
defender,захисник
defensive,оборонний
deficiency,дефіцит
deficit,дефіцит
define,визначити
definite,безумовно
definitely,Безумовно.
definition,визначення
defy,не підкорятися
degree,ступінь
delay,затримка
delay,затримка
delegate,делегат
delegation,делегація
delete,видалити
deliberate,навмисний
deliberately,навмисно
delicate,делікатний
delicious,дуже смачно
delight,захоплення
delight,захоплення
delighted,Я в захваті.
deliver,доставляти
delivery,доставка
demand,попит
demand,попит
democracy,демократія
democratic,демократичний
demon,демон
demonstrate,продемонструвати
demonstration,демонстрація
denial,заперечення
denounce,засуджувати
dense,щільний
density,щільність
dentist,стоматолог
deny,заперечувати
depart,від'їжджати
department,відділ
departure,виїзд
depend,залежать
dependence,залежність
dependent,залежний
depict,зобразити
deploy,розгорнути
deployment,розгортання
deposit,депозит
deposit,депозит
depressed,пригнічений
depressing,депресивний
depression,депресія
deprive,позбавляти
depth,глибина
deputy,депутат
derive,виводити
descend,спуститися
descent,спуск
describe,описати
description,опис
desert,пустеля
desert,пустеля
deserve,заслуговують
design,дизайн
design,дизайн
designate,позначити
designer,дизайнер
desirable,бажано
desire,бажання
desire,бажання
desk,стіл
desktop,робочий стіл
desperate,у відчаї.
desperately,відчайдушно
despite,"незважаючи на те, що"
destination,місце призначення
destroy,знищувати
destruction,знищення
destructive,деструктивний
detail,деталь
detail,деталь
detailed,детальний
detain,затримати
detect,виявити
detection,виявлення
detective,детектив
detention,затримання
deteriorate,погіршуватися
determination,рішучість
determine,визначити
determined,рішучий
devastate,спустошити
develop,розвиватися
development,розвиток
device,пристрій
devil,диявол
devise,придумувати
devote,присвятити
diagnose,діагностувати
diagnosis,діагноз
diagram,діаграма
dialogue,діалог
diamond,діамант
diary,щоденник
dictate,диктують
dictator,диктатор
dictionary,словник
die,померти
diet,дієта
differ,відрізняються
difference,різниця
different,різний
differentiate,розрізняти
differently,інакше
difficult,складний
difficulty,складність
dig,копати
digital,цифровий
dignity,гідність
dilemma,дилема
dimension,розмір
diminish,зменшуватися
dinner,вечеря
dip,занурення
diplomat,дипломат
diplomatic,дипломатичний
direct,прямий
direct,прямий
direct,прямий
direction,напрямок
directly,безпосередньо
director,режисер
directory,каталог
dirt,бруд
dirty,брудний
disability,інвалідність
disabled,з обмеженими можливостями
disadvantage,недолік
disagree,не згоден
disagreement,розбіжність
disappear,зникають
disappoint,розчаровувати
disappointed,розчарований
disappointing,розчаровує
disappointment,розчарування
disaster,катастрофа
disastrous,катастрофічний
disc,диск
discard,відкинути
discharge,розрядка
discipline,дисципліна
disclose,розкрити
disclosure,розкриття
discount,знижка
discount,знижка
discourage,знеохочувати
discourse,дискурс
discover,відкрити для себе
discovery,відкриття
discretion,розсудливість
discrimination,дискримінація
discuss,обговорювати
discussion,дискусія
disease,хвороба
dish,тарілка
dishonest,нечесний
disk,диск
dislike,неприязнь
dislike,неприязнь
dismiss,звільнити
dismissal,звільнення
disorder,розлад
displace,витіснити
display,дисплей
display,дисплей
disposal,утилізація
dispose,утилізувати
dispute,суперечка
dispute,суперечка
disrupt,порушувати
disruption,зрив
dissolve,розчинитися
distance,відстань
distant,далекий
distinct,виразний
distinction,відмінність
distinctive,особливий
distinguish,розрізняти
distort,спотворювати
distract,відволікати
distress,лихо
distress,лихо
distribute,розповсюджувати
distribution,розподіл
district,район
disturb,турбувати
disturbing,тривожний
dive,занурення
dive,занурення
diverse,різноманітні
diversity,різноманітність
divert,відволіктися
divide,розділити
divide,розділити
divine,божественний
division,підрозділ
divorce,розлучення
divorce,розлучення
divorced,розлучений
do,робити
do,робити
doctor,лікар
doctrine,доктрина
document,документ
document,документ
documentary,документальний
documentation,документація
dog,собака
dollar,долар
domain,домен
domestic,внутрішній
dominance,домінування
dominant,домінуючий
dominate,домінувати
donate,пожертвувати
donation,пожертвування
donor,донор
door,двері
dose,доза
dot,крапка
double,подвійний
double,подвійний
double,подвійний
double,подвійний
double,подвійний
doubt,сумнів
doubt,сумнів
down,вниз
down,вниз
download,завантажити
download,завантажити
downstairs,внизу.
downstairs,внизу.
downtown,в центрі міста
downtown,в центрі міста
downtown,в центрі міста
downwards,вниз
dozen,дюжина
dozen,дюжина
draft,проект
draft,проект
drag,тягнути
drain,злив
drama,драма
dramatic,драматичний
dramatically,різко
draw,нічия
drawing,малювання
dream,мріяти
dream,мріяти
dress,сукня
dress,сукня
dressed,одягнений
drift,дрейф
drink,випити
drink,випити
drive,привід
drive,привід
driver,водій
driving,водіння
driving,водіння
drop,падіння
drop,падіння
drought,посуха
drown,потонути
drug,наркотик
drum,барабан
drunk,п'яний
dry,сухий
dry,сухий
dual,подвійний
dub,дубляж
due,за рахунок
dull,тьмяний.
dumb,тупий
dump,звалище
duo,дует
duration,тривалість
during,під час
dust,пил
duty,обов'язок
DVD,DVD
dynamic,динамічний
dynamic,динамічний
each,кожен
each,кожен
each,кожен
eager,з нетерпінням
ear,вухо
early,рано
early,рано
earn,заробляти
earnings,заробіток
earth,земля
earthquake,землетрус
ease,легкість
ease,легкість
easily,легко
east,схід
east,схід
east,схід
eastern,східний
easy,легко
eat,їсти
echo,відлуння
echo,відлуння
ecological,екологічний
economic,економічний
economics,економіка
economist,економіст
economy,економіка
edge,край
edit,редагувати
edition,видання
editor,редактор
editorial,редакційний
educate,виховувати
educated,освічений
education,освіта
educational,освітній
educator,педагог
effect,ефект
effective,ефективний
effectively,ефективно
effectiveness,ефективність
efficiency,ефективність
efficient,ефективний
efficiently,ефективно
effort,зусилля
egg,яйце
ego,его
eight,вісім
eighteen,вісімнадцять
eighty,вісімдесят.
either,або
either,або
either,або
elaborate,складний
elbow,лікоть
elderly,літні люди
elect,обирати
election,вибори
electoral,виборчий
electric,електричний
electrical,електричний
electricity,електроенергія
electronic,електронний
electronics,електроніка
elegant,елегантний
element,елемент
elementary,елементарний
elephant,слон
elevate,підняти
eleven,Одинадцять.
eligible,придатний
eliminate,усунути
elite,еліта
else,інакше
elsewhere,деінде
email,електронна пошта
email,електронна пошта
embark,приступити до роботи
embarrassed,збентежений
