English,Russian
cast,литье
castle,замок
casual,случайный
casualty,несчастный случай
cat,кот
catalogue,каталог
catch,поймать
catch,поймать
category,категория
cater,кейтер
cattle,крупный рогатый скот
cause,причина
cause,причина
caution,осторожно
cautious,осторожно
cave,пещера
CD,CD
cease,прекратить
ceiling,потолок
celebrate,отпраздновать
celebration,праздник
celebrity,знаменитости
cell,ячейка
cemetery,кладбище
cent,цент
central,центральный
centre,центр
centre,центр
century,век
ceremony,церемония
certain,определенный
certainly,конечно
certainty,уверенность
certificate,сертификат
chain,цепь
chain,цепь
chair,кресло
chair,кресло
chairman,председатель
challenge,вызов
challenge,вызов
challenging,вызов
chamber,камера
champion,чемпион
championship,чемпионат
chance,шанс
change,изменить
change,изменить
channel,канал
chaos,хаос
chapter,глава
character,персонаж
characteristic,характеристика
characteristic,характеристика
characterize,охарактеризовать
charge,заряд
charge,заряд
charity,благотворительность
charm,шарм
charming,очаровательный
chart,график
chart,график
charter,чартер
chase,преследовать
chase,преследовать
chat,чат
chat,чат
cheap,дешевые
cheap,дешевые
cheat,мошенничество
cheat,мошенничество
check,проверьте
check,проверьте
cheek,щека
cheer,поддержать
cheer,поддержать
cheerful,веселый
cheese,сыр
chef,шеф-повар
chemical,химический
chemical,химический
chemistry,химия
chest,грудь
chicken,курица
chief,шеф
chief,шеф
child,ребенок
childhood,детство
chip,чип
chocolate,шоколад
choice,выбор
choir,хор
choose,выберите
chop,отбивная
chronic,хронический
chunk,кусок
church,церковь
cigarette,сигарета
cinema,кинотеатр
circle,круг
circle,круг
circuit,схема
circulate,циркулировать
circulation,циркуляция
circumstance,обстоятельство
cite,цитировать
citizen,гражданин
citizenship,гражданство
city,город
civic,гражданский
civil,гражданская
civilian,гражданский
civilian,гражданский
civilization,цивилизация
claim,претензия
claim,претензия
clarify,уточнить
clarity,ясность
clash,столкновение
class,класс
classic,классика
classic,классика
classical,классика
classification,классификация
classify,классифицировать
classroom,классная комната
clause,пункт
clean,чистый
clean,чистый
cleaning,очистка
clear,очистить
clear,очистить
clearly,ясно
clerk,клерк
clever,умный
click,нажмите
click,нажмите
client,клиент
cliff,клифф
climate,климат
climb,восхождение
climb,восхождение
cling,цепляться
clinic,клиника
clinical,клиническая
clip,клип
clock,часы
close,закрыть
close,закрыть
close,закрыть
close,закрыть
closed,закрытый
closely,близко
closure,закрытие
cloth,ткань
clothes,одежда
clothing,одежда
cloud,облако
club,клуб
clue,подсказка
cluster,кластер
coach,тренер
coach,тренер
coal,уголь
coalition,коалиция
coast,побережье
coastal,прибрежный
coat,пальто
cocktail,коктейль
code,код
coffee,кофе
cognitive,когнитивный
coin,монета
coincide,совпадать
coincidence,совпадение
cold,холод
cold,холод
collaborate,сотрудничать
collaboration,сотрудничество
collapse,обвал
collapse,обвал
colleague,коллега
collect,собирать
collection,коллекция
collective,коллектив
collector,коллектор
college,колледж
collision,столкновение
colonial,Колониальный
colony,колония
colour,цвет
coloured,цветной
colourful,красочный
column,колонка
columnist,обозреватель
combat,бой
combat,бой
combination,комбинация
combine,комбайн
come,заходите
comedy,комедия
comfort,комфорт
comfort,комфорт
comfortable,удобный
comic,комикс
comic,комикс
command,команда
command,команда
commander,командир
commence,начать
comment,комментарий
comment,комментарий
commentary,комментарий
commentator,комментатор
commerce,торговля
commercial,коммерческая
commercial,коммерческая
commission,комиссия
commission,комиссия
commissioner,комиссар
commit,зафиксировать
commitment,обязательство
committee,комитет
commodity,товар
common,общий
commonly,обычно
communicate,общаться
communication,общение
communist,коммунист
community,сообщество
companion,компаньон
company,компания
comparable,сопоставимо
comparative,сравнительный
compare,сравнить
comparison,сравнение
compassion,Сострадание
compel,заставлять
compelling,убедительно
compensate,компенсировать
compensation,компенсация
compete,конкурировать
competence,компетенция
competent,компетентный
competition,конкурс
competitive,конкурентоспособность
competitor,конкурент
compile,скомпилировать
complain,жаловаться
complaint,жалоба
complement,дополнение
complete,полный
complete,полный
completely,полностью
completion,завершение
complex,комплекс
complex,комплекс
complexity,сложность
compliance,соответствие
complicated,сложный
complication,осложнение
comply,соблюдать
component,компонент
compose,сочинить
composer,композитор
composition,состав
compound,соединение
comprehensive,всеобъемлющий
comprise,составляют
compromise,компромисс
compromise,компромисс
compulsory,обязательный
compute,вычислить
computer,компьютер
conceal,скрыть
concede,уступать
conceive,зачать ребенка
concentrate,концентрат
concentration,концентрация
concept,концепция
conception,зачатие
concern,концерн
concern,концерн
concerned,обеспокоенный
concert,концерт
concession,концессия
conclude,заключить
conclusion,заключение
concrete,бетон
concrete,бетон
condemn,осудить
condition,условие
conduct,провести
conduct,провести
confer,конференция
conference,конференция
confess,признаться
confession,признание
confidence,уверенность
confident,уверенно
configuration,конфигурация
confine,ограничить
confirm,подтвердить
confirmation,подтверждение
conflict,конфликт
conflict,конфликт
confront,противостоять
confrontation,противостояние
confuse,запутать
confused,в замешательстве
confusing,путаница
confusion,путаница
congratulate,поздравить
congregation,община
congressional,Конгресс
connect,подключиться
connected,подключено
connection,соединение
conquer,покорить
conscience,совесть
conscious,сознание
consciousness,сознание
consecutive,подряд
consensus,консенсус
consent,согласие
consent,согласие
consequence,следствие
consequently,следовательно
conservation,охрана природы
conservative,консерваторы
conservative,консерваторы
conserve,сохранить
consider,рассмотрим
considerable,значительный
considerably,значительно
consideration,рассмотрение
consist,состоять
consistency,консистенция
consistent,последовательный
consistently,постоянно
consolidate,консолидировать
conspiracy,заговор
constant,постоянная
constantly,постоянно
constituency,избирательный округ
constitute,создать
constitution,конституция
constitutional,Конституция
constraint,ограничение
construct,построить
construction,строительство
consult,проконсультироваться
consultant,консультант
consultation,консультация
consume,потреблять
consumer,потребитель
consumption,потребление
contact,связаться с
contact,связаться с
contain,содержат
container,контейнер
contemplate,созерцать
contemporary,современный
contempt,презрение
contend,спорить
contender,соперник
content,содержание
content,содержание
contention,соперничество
contest,конкурс
contest,конкурс
context,контекст
continent,континент
continually,постоянно
continue,продолжить
continuous,непрерывный
contract,контракт
contract,контракт
contractor,подрядчик
contradiction,противоречие
contrary,вопреки
contrary,вопреки
contrast,контраст
contrast,контраст
contribute,внести свой вклад
contribution,вклад
contributor,вкладчик
control,управление
control,управление
controversial,спорный
controversy,споры
convenience,удобство
convenient,удобный
convention,съезд
conventional,обычные
conversation,разговор
conversion,конверсия
convert,конвертировать
convey,передать
convict,каторжник
conviction,приговор
convince,убедить
convinced,убежден
convincing,убедительно
cook,готовить
cook,готовить
cooker,плита
cooking,приготовление
cool,прохладный
cool,прохладный
cooperate,сотрудничать
cooperative,кооператив
coordinate,координата
coordination,координация
coordinator,координатор
cop,полицейский
cope,справиться
copper,медь
copy,копия
copy,копия
copyright,авторское право
core,ядро
core,ядро
corner,угол
corporate,корпоративный
corporation,корпорация
correct,правильно
correct,правильно
correction,коррекция
correctly,правильно
correlate,коррелировать
correlation,корреляция
correspond,Переписывайтесь
correspondence,переписка
correspondent,Корреспондент
corresponding,соответствующий
corridor,коридор
corrupt,Коррупция
corruption,коррупция
cost,стоимость
cost,стоимость
costly,дорогостоящий
costume,костюм
cottage,коттедж
cotton,хлопок
could,может
council,совет
councillor,советник
counselling,консультирование
counsellor,консультант
count,считать
count,считать
counter,счетчик
counter,счетчик
counterpart,аналог
countless,бесчисленные
country,страна
countryside,сельская местность
county,округ
coup,переворот
couple,пара
courage,мужество
course,курс
court,суд
courtesy,любезно
cousin,кузен
cover,обложка
cover,обложка
coverage,покрытие
covered,крытый
cow,корова
crack,трещина
crack,трещина
craft,ремесло
craft,ремесло
crash,авария
crash,авария
crawl,ползти
crazy,сумасшедший
cream,крем
cream,крем
create,создать
creation,создание
creative,креатив
creativity,творчество
creator,создатель
creature,существо
credibility,доверие
credible,заслуживающий доверия
credit,кредит
credit,кредит
creep,ползти
crew,экипаж
crime,преступление
criminal,криминал
criminal,криминал
crisis,кризис
criterion,критерий
critic,критик
critical,критический
critically,критически
criticism,критика
criticize,критиковать
critique,критика
crop,урожай
cross,крест
cross,крест
crowd,толпа
crowded,переполненный
crown,корона
crucial,решающий
crude,сырой
cruel,жестокий
cruise,круиз
cruise,круиз
crush,раздавить
cry,плакать
cry,плакать
crystal,кристалл
cue,кий
cult,культ
cult,культ
cultivate,выращивать
cultural,культура
culture,культура
cup,чашка
cupboard,шкаф
cure,вылечить
cure,вылечить
curiosity,любопытство
curious,любопытный
curly,вьющиеся
currency,валюта
current,текущий
current,текущий
currently,в настоящее время
curriculum,учебный план
curtain,штора
curve,кривая
curve,кривая
curved,изогнутый
custody,Опека
custom,на заказ
customer,клиент
cut,разрезать
cut,разрезать
cute,милый
cutting,резка
cycle,цикл
cycle,цикл
cynical,циничный
dad,папа
daily,ежедневно
daily,ежедневно
dairy,молочные продукты
dairy,молочные продукты
dam,плотина
damage,ущерб
damage,ущерб
damaging,повреждение
dance,танец
dance,танец
dancer,танцор
dancing,танцы
danger,опасность
dangerous,опасно
dare,осмелиться
dark,темный
dark,темный
darkness,тьма
data,данные
database,база данных
date,дата
date,дата
daughter,дочь
dawn,рассвет
day,день
dead,мертвый
deadline,срок
deadly,смертельный
deal,сделка
deal,сделка
dealer,дилер
dear,уважаемый
dear,уважаемый
death,смерть
debate,дебаты
debate,дебаты
debris,мусор
debt,долг
debut,Дебют
decade,десятилетие
December,Декабрь
decent,достойный
decide,решить
decision,решение
decision-making,принятие решений
decisive,решительный
deck,палуба
declaration,декларация
declare,объявить
decline,снижение
decline,снижение
decorate,украсить
decoration,украшение
decrease,уменьшить
decrease,уменьшить
dedicated,специализированный
dedication,посвящение
deed,акт
deem,считать
deep,глубокий
deep,глубокий
deeply,глубоко
default,по умолчанию
defeat,победить
defeat,победить
defect,дефект
defence,оборона
defend,защищать
defender,защитник
defensive,Защита
deficiency,недостаток
deficit,дефицит
define,определить
definite,определенный
definitely,определенно
definition,определение
defy,бросить вызов
degree,степень
delay,задержка
delay,задержка
delegate,делегат
delegation,делегация
delete,удалить
deliberate,преднамеренно
deliberately,намеренно
delicate,нежный
delicious,вкусно
delight,восхищение
delight,восхищение
delighted,в восторге
deliver,доставить
delivery,доставка
demand,спрос
demand,спрос
democracy,демократия
democratic,демократический
demon,демон
demonstrate,продемонстрировать
demonstration,демонстрация
denial,отказ
denounce,осудить
dense,плотный
density,плотность
dentist,стоматолог
deny,запретить
depart,отправиться
department,отдел
departure,отправление
depend,зависеть
dependence,зависимость
dependent,зависимый
depict,изобразить
deploy,развернуть
deployment,развертывание
deposit,депозит
deposit,депозит
depressed,депрессия
depressing,депрессивный
depression,депрессия
deprive,лишать
depth,глубина
deputy,заместитель
derive,вывести
descend,спускаться
descent,спуск
describe,описать
description,описание
desert,пустыня
desert,пустыня
deserve,заслужить
design,дизайн
design,дизайн
designate,указать
designer,дизайнер
desirable,желательно
desire,желание
desire,желание
desk,стол
desktop,рабочий стол
desperate,Отчаянный
desperately,отчаянно
despite,несмотря на
destination,пункт назначения
destroy,уничтожить
destruction,разрушение
destructive,разрушительный
detail,подробнее
detail,подробнее
detailed,подробно
detain,задержать
detect,обнаружить
detection,обнаружение
detective,детектив
detention,содержание под стражей
deteriorate,ухудшаться
determination,определение
determine,определить
determined,определено
devastate,опустошать
develop,разработать
development,разработка
device,устройство
devil,дьявол
devise,придумывать
devote,посвятить
diagnose,диагностировать
diagnosis,диагностика
diagram,диаграмма
dialogue,диалог
diamond,бриллиант
diary,дневник
dictate,диктовать
dictator,диктатор
dictionary,словарь
die,умереть
diet,диета
differ,отличаться
difference,разница
different,разные
differentiate,различать
differently,по-разному
difficult,сложно
difficulty,трудности
dig,копать
digital,цифровой
dignity,достоинство
dilemma,дилемма
dimension,размер
diminish,уменьшаться
dinner,ужин
dip,окунуться
diplomat,дипломат
diplomatic,дипломатический
direct,прямой
direct,прямой
direct,прямой
direction,направление
directly,напрямую
director,директор
directory,каталог
dirt,грязь
dirty,грязный
disability,инвалидность
disabled,отключено
disadvantage,недостаток
disagree,не соглашаться
disagreement,разногласия
disappear,исчезнуть
disappoint,разочаровывать
disappointed,разочарован
disappointing,разочаровывает
disappointment,разочарование
disaster,бедствие
disastrous,катастрофа
disc,диск
discard,выбросить
discharge,разряд
discipline,дисциплина
disclose,раскрыть информацию
disclosure,раскрытие информации
discount,скидка
discount,скидка
discourage,препятствовать
discourse,дискурс
discover,откройте для себя
discovery,открытие
discretion,усмотрение
discrimination,дискриминация
discuss,обсудить
discussion,обсуждение
disease,болезнь
dish,блюдо
dishonest,Нечестный
disk,диск
dislike,не нравится
dislike,не нравится
dismiss,уволить
dismissal,увольнение
disorder,расстройство
displace,вытеснить
display,дисплей
display,дисплей
disposal,утилизация
dispose,утилизировать
dispute,спор
dispute,спор
disrupt,нарушить
disruption,срыв
dissolve,растворить
distance,расстояние
distant,далекий
distinct,отдельный
distinction,различие
distinctive,отличительная
distinguish,различать
distort,искажать
distract,отвлечься
distress,бедствие
distress,бедствие
distribute,распространять
distribution,распространение
district,округ
disturb,беспокоить
disturbing,тревожный
dive,погружение
dive,погружение
diverse,разнообразные
diversity,разнообразие
divert,отвлечься
divide,разделить
divide,разделить
divine,божественный
division,подразделение
divorce,развод
divorce,развод
divorced,разведенные
do,сделать
do,сделать
doctor,доктор
doctrine,доктрина
document,документ
document,документ
documentary,документальный фильм
documentation,документация
dog,собака
dollar,доллар
domain,домен
domestic,домашний
dominance,доминирование
dominant,доминанта
dominate,доминировать
donate,пожертвовать
donation,пожертвование
donor,донор
door,дверь
dose,доза
dot,точка
double,двойной
double,двойной
double,двойной
double,двойной
double,двойной
doubt,сомневаться
doubt,сомневаться
down,вниз
down,вниз
download,скачать
download,скачать
downstairs,внизу
downstairs,внизу
downtown,центр города
downtown,центр города
downtown,центр города
downwards,вниз
dozen,дюжина
dozen,дюжина
draft,проект
draft,проект
drag,перетащить
drain,слив
drama,драма
dramatic,драматический
dramatically,резко
draw,нарисовать
drawing,чертеж
dream,мечта
dream,мечта
dress,платье
dress,платье
dressed,одетые
drift,дрейф
drink,пить
drink,пить
drive,диск
drive,диск
driver,драйвер
driving,вождение
driving,вождение
drop,капля
drop,капля
drought,засуха
drown,утонуть
drug,наркотик
drum,барабан
drunk,пьяный
dry,сухой
dry,сухой
dual,двойной
dub,dub
due,причитается
dull,скучный
dumb,тупой
dump,сброс
duo,дуэт
duration,продолжительность
during,во время
dust,пыль
duty,долг
DVD,DVD
dynamic,динамический
dynamic,динамический
each,каждый
each,каждый
each,каждый
eager,с нетерпением
ear,ухо
early,рано
early,рано
earn,заработать
earnings,заработок
earth,земля
earthquake,землетрясение
ease,легкость
ease,легкость
easily,легко
east,восток
east,восток
east,восток
eastern,восточная
easy,легко
eat,съесть
echo,echo
echo,echo
ecological,экологический
economic,экономика
economics,экономика
economist,экономист
economy,экономика
edge,край
edit,редактировать
edition,издание
editor,редактор
editorial,редакция
educate,обучать
educated,образованный
education,образование
educational,образование
educator,педагог
effect,эффект
effective,эффективный
effectively,эффективно
effectiveness,эффективность
efficiency,эффективность
efficient,эффективный
efficiently,эффективно
effort,усилия
egg,яйцо
ego,эго
eight,восемь
eighteen,восемнадцать
eighty,восемьдесят
either,либо
either,либо
either,либо
elaborate,разработать
elbow,локоть
elderly,пожилые люди
elect,выбрать
election,выборы
electoral,выборы
electric,электрический
electrical,электрика
electricity,электричество
electronic,электронный
electronics,электроника
elegant,элегантный
element,элемент
elementary,элементарный
elephant,слон
elevate,поднять
eleven,одиннадцать
eligible,правомочный
eliminate,устранить
elite,элита
else,else
elsewhere,в другом месте
email,e-mail
email,e-mail
embark,заходите на сайт
embarrassed,смущенный
embarrassing,неловко
embarrassment,смущение
embassy,посольство
embed,вставить
embody,воплотить
embrace,обнимать
emerge,появиться
emergence,появление
emergency,чрезвычайная ситуация
emission,эмиссия
emotion,эмоции
emotional,эмоциональный
emotionally,эмоционально
emphasis,подчеркивание
emphasize,подчеркнуть
empire,империя
empirical,эмпирический
employ,нанять
employee,сотрудник
employer,работодатель
employment,трудоустройство
empower,расширить возможности
empty,пустой
empty,пустой
enable,включить
enact,ввести в действие
encompass,охватывать
encounter,встреча
encounter,встреча
encourage,поощрять
encouragement,поощрение
encouraging,поощряя
end,конец
end,конец
endeavour,стараться
ending,окончание
endless,бесконечный
endorse,одобрить
endorsement,индоссамент
endure,выдержать
enemy,враг
energy,энергия
