word,synonyms
bind,tie|fasten|secure
biography,life|story|history
biological,natural|organic|living
biology,science|nature|study
bird,fowl|chicken|falcon
birth,delivery|arrival|coming
birthday,anniversary|celebration|party
biscuit,cookie|cracker|cake
bishop,clergyman|prelate|pastor
bit,chunk|piece|part
bite,chew|gnaw|nibble
bitter,harsh|acid|sour
bizarre,strange|weird|odd
black,dark|night|shadowy
blade,edge|knife|edge
blame,fault|accuse|criticize
blank,empty|void|vacant
blanket,cover|shawl
blast,explosion|bang|crash
bleed,seep|ooze
blend,mix|merge|combine
bless,praise|honor|thank
blessing,favor|gift|benefit
blind,dumb|deaf|dark
block,chunk|section|segment
blog,article|post|entry
blonde,fair|golden|light
blood,redness|liquid|juice
blow,puff|breathe|exhale
blue,green|purple|navy
board,panel|table|committee
boast,brag|gloat
boat,ship|vessel|raft
body,form|shape|figure
boil,bubble|simmer|roil
bold,brash|daring|fearless
bomb,explosion|blast|blast
bombing,attack|raid|assault
bond,tie|link|connection
bone,marrow|skeleton|rib
bonus,reward|extra|addition
book,volume|text|paperback
booking,reservation|appointment|engagement
boom,crash|bang|blast
boost,increase|improve|enhance
boot,shoe|footwear|lug
border,edge|margin|limit
bored,dull|tired|uninterested
boring,dull|uninteresting|tedious
born,created|made|produced
borrow,lend|take|steal
boss,chief|manager|supervisor
both,either|too|also
bother,trouble|nuisance|hassle
bottle,container|flask|vial
bottom,base|lower|foot
bounce,jump|leap|spring
bound,limited|fixed|restricted
boundary,edge|limit|border
bow,knot|ribbon|ribbon
bowl,dish|plate|cup
box,crate|chest|case
boy,lad|kid|youth
boyfriend,partner|lover
brain,mind|head|cerebrum
branch,division|offshoot|appendage
brand,label|mark|name
brave,courageous|bold|daring
breach,break|violation|rupture
bread,loaf|cake|pastry
break,split|shatter|crack
breakdown,collapse|failure|crash
breakfast,morning|lunch|dinner
breakthrough,advance|progress|gain
breast,chest|bosom|torso
breath,puff|gasp|sigh
breathe,inhale|exhale
breathing,respiring|panting|gasping
breed,strain|kind|type
brick,block|stone|tile
bride,groom|spouse|partner
bridge,span|link|connection
brief,short|concise
briefly,shortly|temporarily|momentarily
bright,light|clear|sharp
brilliant,excellent|superb|outstanding
bring,fetch|carry|take
broad,wide|large|wide
broadband,fast|quick
broadcast,transmit|announce|relay
broadcaster,announcer|reporter|spokesperson
broadly,widely|generally|extensively
broken,damaged|shattered|fractured
brother,sister|male
brown,tan|beige|tawny
browser,navigator|explorer|viewer
brush,broom|comb|sweep
brutal,harsh|cruel|tough
bubble,blister|foam|froth
buck,male|deer|stallion
buddy,friend|pal|mate
budget,expense|plan|finance
buffer,cushion|shield|barrier
bug,insect|blemish|flaw
build,construct|create|make
building,structure|house|edifice
bulk,mass|quantity|amount
bullet,slug|projectile|pellet
bunch,group|clump|cluster
burden,weight|load|strain
bureaucracy,redtape|officialdom
burial,funeral|tomb|grave
burn,scorch|sear|damage
burst,explode|outburst|rupture
bury,hide|cover|enclose
bus,coach|minibus|van
bush,shrub|thicket|hedge
business,trade|industry|commerce
businessman,entrepreneur|executive|tycoon
busy,occupied|active|engaged
but,however|nevertheless|still
butter,margarine|spread|oil
button,knob|switch|toggle
buy,purchase|acquire|obtain
by,with|through|via
bye,farewell|leave|depart
cabin,hut|shed|bungalow
cabinet,cupboard|closet|wardrobe
cable,wire|string|rope
cafe,restaurant|bistro|diner
cake,pastry|tart|biscuit
calculate,compute|figure|estimate
calculation,computation|math|figure
call,phone|ring|alert
calm,peaceful|quiet|serene
camera,photograph|lens|snapshot
camp,site|base|shelter
campaign,effort|drive|push
camping,hiking|outdoors|trekking
campus,grounds|grounds|site
can,may|must|will
canal,waterway|channel|tunnel
cancel,stop|halt|end
cancer,disease|illness|sickness
candidate,applicant|runner|entrant
candle,lamp|torch|light
cannot,fail
canvas,painting|fabric|material
cap,hat|cover|lid
capability,ability|talent|skill
capable,able|skilled|competent
capacity,size|amount|extent
capital,city|center|main
capitalism,market|commerce
capitalist,businessman|entrepreneur|tycoon
captain,leader|commander|officer
capture,seize|catch|grab
car,vehicle|auto|motor
carbon,coal|graphite|diamond
card,ticket|document|voucher
care,concern|attention|worry
career,job|profession
careful,cautious|mindful|vigilant
carefully,slowly|gently|precisely
careless,thoughtless|reckless|negligent
cargo,goods|freight|load
carpet,rug|mat|flooring
carriage,vehicle|cart|wagon
carrot,beet|parsnip|turnip
carry,bear|hold|lift
cartoon,animation|comics|drawing
carve,cut|hew|chop
case,instance|example|situation
cash,money|funds|pay
casino,gamble|gaming|venue
cast,throw|act|role
castle,fortress|mansion|palace
casual,relaxed|informal|easy
casualty,victim|injury|harm
cat,kitten|pet|animal
catalogue,list|directory|inventory
catch,grab|get|snatch
category,type|class|kind
cater,serve|feed|supply
cattle,livestock|beasts|animals
cause,reason|effect|result
caution,warning|alert|cautionary
cautious,careful|wary|guarded
cave,hole|den|pit
cd,disc|album|tape
cease,stop|halt|end
ceiling,roof|top|height
celebrate,honor|commemorate|cheer
celebration,party|festival|commemoration
celebrity,star|famous|icon
cell,room|unit|space
cemetery,graveyard|burial|tomb
cent,penny|dime|nickel
central,main|key|chief
centre,middle|center|heart
century,era|period|decade
ceremony,ritual|service
certain,sure|definite|exact
certainly,definitely|surely|certain
certainty,confidence|assurance
certificate,document|proof|award
chain,link|ring|string
chair,seat|stool|bench
chairman,president|leader|director
challenge,test|trial|obstacle
challenging,difficult|tough|hard
chamber,room|hall|cabin
champion,winner|hero|winner
championship,title|cup|trophy
chance,luck|opportunity|probability
change,alter|modify|shift
channel,stream|path|route
chaos,confusion|disorder|turmoil
chapter,section|part|article
character,person|trait|feature
characteristic,feature|trait|quality
characterize,describe|define|explain
charge,bill|cost|fee
charity,kindness|generosity|altruism
charm,spell|magic|attract
charming,attractive|pleasant|delightful
chart,map|graph|diagram
charter,contract|agreement|treaty
chase,pursue|follow|hunt
chat,talk|converse|discuss
cheap,inexpensive|affordable
cheat,deceive|trick|lie
check,verify|inspect|examine
cheek,face|side|jaw
cheer,hurray|happiness|smile
cheerful,happy|jolly|bright
cheese,dairy|milk|butter
chef,cook|cookery|master
chemical,toxic|poisonous|harmful
chemistry,science|physics|compound
chest,box|trunk|case
chicken,fowl|bird|poultry
chief,head|leader|boss
child,kid|youngster|minor
childhood,youth|boyhood|girlhood
chip,crisp|flake|piece
chocolate,cocoa|candy|sweet
choice,option|decision|pick
choir,singers|group|chorus
choose,pick|select|opt
chop,cut|slice|hack
chronic,persistent|ongoing
chunk,piece|section|portion
church,temple|sanctuary|meetinghouse
cigarette,cigar|pipe|smoke
cinema,movies|theater|movies
circle,ring|round|oval
circuit,route|path|loop
circulate,spread|move|flow
circulation,flow|movement|exchange
circumstance,situation|event|incident
cite,quote|mention|refer
citizen,person|resident|member
citizenship,nationality|residency
city,town|village|metropolis
civic,public|community|social
civil,municipal|public|social
civilian,nonmilitary|civvy|layman
civilization,society|culture|community
claim,assert|demand|state
clarify,explain|clear|define
clarity,clearness|precision|distinctness
clash,conflict|collision|disagreement
class,type|kind|category
classic,traditional|timeless|standard
classical,traditional|ancient|timeless
classification,categorization|typing|sorting
classify,categorize|sort|group
classroom,schoolroom|lecture|hall
clause,sentence|phrase|article
clean,pure|fresh|spotless
cleaning,washing|sweeping
clear,plain|simple|obvious
clearly,obviously|evidently|plainly
clerk,assistant|employee|worker
clever,smart|intelligent|quick
click,tap|press|push
client,customer|user|patron
cliff,slope|ledge|edge
climate,weather|temperature|atmosphere
climb,ascend|rise|ascend
cling,stick|hold|grip
clinic,hospital|office|center
clinical,medical|professional|practical
clip,snip|cut|snatch
clock,watch|timer|meter
close,near|tight|firm
closed,shut|locked|sealed
closely,tightly|nearly
closure,end|finish|completion
cloth,fabric|material|stuff
clothes,garments|attire|dress
clothing,garments|dress|attire
cloud,fog|mist|smog
club,group|team|gang
clue,hint|tip|lead
cluster,group|bundle|collection
coach,trainer|driver|mentor
coal,charcoal|peat|lignite
coalition,alliance|partnership|union
coast,shore|beach|edge
coastal,seaside|beachy|oceanic
coat,jacket|cloak|cape
cocktail,drink|mix|beverage
code,script|program|formula
coffee,tea|beverage|brew
cognitive,mental|intelligent|aware
coin,dime|penny|money
coincide,happen|match|agree
coincidence,chance|accident|happenstance
cold,chilly|frosty|freezing
collaborate,cooperate|work|team
collaboration,cooperation|teamwork|partnership
collapse,fall|crash|fail
colleague,assistant|partner|associate
collect,gather|assemble|accumulate
collection,gathering|set|batch
collective,shared|group|common
collector,gatherer|hoarder|accumulator
college,university|school|institute
collision,crash|impact|bump
colonial,foreign|settler|imperial
colony,settlement|outpost|settlement
colour,hue|shade|tone
coloured,colored|tinted|hued
colourful,vibrant|bright|vivid
column,pillar|beam|post
columnist,journalist|writer|reporter
combat,fight|battle|clash
combination,mix|blend|mixture
combine,unite|merge|join
come,arrive|get
comedy,humor|funny|joke
comfort,ease|relief|solace
comfortable,cozy|easy|relaxed
comic,funny|humorous|amusing
command,order|instruction|direction
commander,leader|captain|boss
commence,start|begin|initiate
comment,remark|note|remark
commentary,analysis|explanation|review
commentator,announcer|reporter|analyst
commerce,trade|business|industry
commercial,business|advertising|professional
commission,fee|charge|payment
commissioner,officer|official|representative
commit,agree|confirm|pledge
commitment,promise|pledge|dedication
committee,panel|board|group
commodity,good|article|product
common,usual|ordinary|general
commonly,usually|often|frequently
communicate,talk|explain|share
communication,talk|message|contact
communist,socialist|leftist|radical
community,society|group|neighborhood
companion,friend|partner|associate
company,firm|business|corporation
comparable,similar|alike|equivalent
comparative,better|greater|superior
compare,contrast|match
comparison,contrast|difference|similarity
compassion,kindness|empathy|sympathy
compel,force|obligate|require
compelling,interesting|attractive|appealing
compensate,pay|reward|reimburse
compensation,reimbursement|reward|payment
compete,rival|contest
competence,ability|skill|proficiency
competent,capable|skilled|qualified
competition,contest|rivalry|tournament
competitive,aggressive|rival|challenging
competitor,rival|opponent|challenger
compile,assemble|build|construct
complain,gripe|moan|whine
complaint,grievance|objection
complement,match|partner|addition
complete,full|perfect|whole
completely,fully|totally|entirely
completion,finish|end
complex,complicated|difficult|hard
complexity,difficulty|hardness|complication
compliance,obedience|conformity|cooperation
complicated,difficult|complex|tough
complication,difficulty|problem|issue
comply,obey|follow|conform
component,part|element|section
compose,create|write|make
composer,musician|author|creator
composition,mix|blend|combination
compound,complex|mixed|combined
comprehensive,thorough|complete|full
comprise,include|contain|encompass
compromise,sacrifice|concession|agreement
compulsory,obligatory|required|necessary
compute,calculate|figure|work
computer,machine|calculator|device
conceal,hide|cover|mask
concede,admit|yield|accept
conceive,understand|imagine|picture
concentrate,focus|intensify|strengthen
concentration,focus|attention|intensity
concept,idea|notion|thought
conception,idea|thought|plan
concern,worry|problem|issue
concerned,worried|anxious|careful
concert,performance|show|gig
concession,yield|surrender|givein
conclude,decide|finish|end
conclusion,result|outcome|end
concrete,solid|real|actual
condemn,criticize|disapprove|reject
condition,state|status|situation
conduct,lead|manage|handle
confer,discuss|talk|meet
conference,meeting|gathering|forum
confess,admit|reveal|acknowledge
confession,admission|acknowledgment|apology
confidence,trust|faith|belief
confident,sure|certain|brave
configuration,setup|settings|arrangement
confine,limit|restrict|restrain
confirm,agree|approve|verify
confirmation,agreement|approval|acceptance
conflict,dispute|argument|problem
confront,face|meet|encounter
confrontation,clash|conflict|argument
confuse,mixup|baffle|perplex
confused,mixed|muddled|disoriented
confusing,muddled|mixed|unclear
confusion,chaos|disorder|muddle
congratulate,commend|praise|hail
congregation,group|assembly|crowd
congressional,governmental|official|legislative
connect,link|join|unite
connected,linked|joined|attached
connection,link|relation|tie
conquer,defeat|overcome|win
conscience,guilt|morals|scruples
conscious,aware|mindful|alert
consciousness,awareness|mind|perception
consecutive,successive|continuous|straight
consensus,agreement|understanding|accord
consent,agreement|permission|approval
consequence,result|outcome|effect
consequently,therefore|thus|hence
conservation,protection|preservation|safeguard
conservative,traditional|cautious|moderate
conserve,save|protect|preserve
consider,think|examine|evaluate
considerable,large|significant|substantial
considerably,significantly|noticeably|markedly
consideration,thought|attention|regard
consist,make|compose|form
consistency,uniformity|regularity|steadiness
consistent,regular|steady|constant
consistently,regularly|steadily|usually
consolidate,unify|merge|combine
conspiracy,plot|scheme|plotting
constant,steady|fixed|unchanging
constantly,always|regularly|often
constituency,district|area|region
constitute,form|make|create
constitution,law|rules|regulations
constitutional,official|legal|normal
constraint,limit|restriction|barrier
construct,build|create|make
construction,building|repair|erection
consult,advise|discuss|talk
consultant,adviser|expert|specialist
consultation,meeting|talk|discussion
consume,eat|use|devour
consumer,buyer|customer|user
consumption,use|waste|expense
contact,meet|touch|reach
contain,hold|keep|have
container,box|vessel|crate
contemplate,think|consider|reflect
contemporary,modern|current|present
contempt,disdain|scorn|disgust
contend,argue|dispute|claim
contender,candidate|challenger|rival
content,material|information|matter
contention,dispute|argument|conflict
contest,competition|tournament
context,situation|background|setting
continent,landmass|region|area
continually,always|constantly|regularly
continue,keep|go|carry
continuous,constant|ongoing
contract,agreement|deal|pact
contractor,builder|worker|laborer
contradiction,conflict|disagreement|inconsistency
contrary,opposite|reverse|against
contrast,difference|opposite|disparity
contribute,help|assist|participate
contribution,help|share|input
contributor,donor|helper|assistant
control,regulate|manage|govern
controversial,disputed|debated|contentious
controversy,dispute|debate|argument
convenience,ease|facility|comfort
convenient,easy|handy|simple
convention,agreement|standard|custom
conventional,usual|normal|standard
conversation,talk|discussion|chat
conversion,change|alteration|transformation
convert,change|transform|alter
convey,transfer|carry|move
convict,prisoner|felon|offender
conviction,belief|certainty|confidence
convince,persuade|prove|show
convinced,certain|sure|confident
convincing,persuasive|strong
cook,prepare|bake|roast
cooker,stove|oven|range
cooking,preparing|baking|boiling
cool,great|awesome|fantastic
cooperate,collaborate|assist|help
cooperative,collaborative|mutual|joint
coordinate,align|match|correspond
coordination,organization|arrangement|planning
coordinator,organizer|manager|director
cop,policeman|officer|guard
cope,manage|handle|bear
copper,brass|bronze|metal
copy,duplicate|replica|imitation
copyright,property|right|ownership
core,center|heart|middle
corner,edge|end|side
corporate,business|official|professional
corporation,company|firm|business
correct,right|accurate|true
correction,change|fix|adjust
correctly,rightly|properly|accurately
correlate,link|connect|match
correlation,link|relation|connection
correspond,match|agree|coincide
correspondence,letters|communication|exchange
correspondent,reporter|journalist|writer
corresponding,matching|related|associated
corridor,hallway|passage|aisle
corrupt,rotten|bad|deceitful
corruption,bribery|graft|scandal
cost,price|charge|expense
costly,expensive|pricey|high
costume,dress|outfit|attire
cottage,house|hut|bungalow
cotton,linen|flax|wool
could,might|may|can
council,board|committee|panel
councillor,official|representative|member
counselling,advice|help|therapy
counsellor,adviser|counselor|adviser
count,number|total|amount
counter,opponent|rival|foe
counterpart,alternative|equal|match
countless,innumerable|endless|boundless
country,nation|land|state
countryside,rural|country|hinterland
county,district|parish|borough
coup,overthrow|takeover|seizure
couple,pair|duo|twosome
courage,bravery|boldness|strength
course,route|program|lesson
court,hall|tribunal|bench
courtesy,politeness|manners|respect
cousin,relative|nephew|sister
cover,shield|protect|hide
coverage,range|scope|extent
covered,hidden|shielded|protected
cow,ox|beef|heifer
crack,break|split|fracture
craft,skill|trade|art
crash,bump|collision|smash
crawl,creep|slither|inch
crazy,mad|wild|insane
cream,butter|milk|fat
create,make|build|construct
creation,making|building|production
creative,imaginative|original|innovative
creativity,imagination|originality|innovation
creator,maker|author|producer
creature,animal|being|monster
credibility,trust|reputation|believability
credible,believable|trustworthy|reliable
credit,trust|reputation|faith
creep,sneak|slip|crawl
crew,team|gang|group
crime,offense|misdeed|wrongdoing
criminal,offender|lawbreaker|felon
crisis,emergency|problem|disaster
criterion,standard|measure|benchmark
critic,reviewer|judge|assessor
critical,serious|important|vital
critically,severely|seriously|badly
criticism,disapproval|rejection|objection
criticize,attack|blame|scold
critique,review|analysis|evaluation
crop,harvest|yield|reap
cross,intersection|overlap|meet
crowd,mob|throng|group
crowded,packed|busy|full
crown,head|cap|jewel
crucial,essential|vital|important
crude,coarse|raw|unrefined
cruel,harsh|brutal|heartless
cruise,sail|travel|journey
crush,love|hate|smash
cry,weep|sob|wail
crystal,rock|gem|stone
cue,signal|hint|prompt
cult,sect|faction|group
cultivate,grow|tend|nurture
cultural,social|traditional|customary
culture,society|customs|tradition
cup,mug|glass|bowl
cupboard,cabinet|closet|wardrobe
cure,heal|treat|fix
curiosity,interest|inquisitiveness
curious,inquisitive|interested|intrigued
curly,wavy|twisted|kinky
currency,money|cash|coins
current,recent|present|new
currently,now|presently|at
curriculum,program|schedule|plan
curtain,drapes|blinds|shutters
curve,bend|arc|swell
