English,Polish
arms,broń
army,armia
around,około
around,około
arrange,aranżacja
arrangement,aranżacja
array,tablica
arrest,aresztowanie
arrest,aresztowanie
arrival,przybycie
arrive,przybyć
arrow,strzałka
art,sztuka
article,artykuł
articulate,artykułować
artificial,sztuczny
artist,artysta
artistic,artystyczny
artwork,grafika
as,jak
as,jak
as,jak
ash,popiół
ashamed,zawstydzony
aside,na bok
ask,pytanie
asleep,sen
aspect,aspekt
aspiration,aspiracja
aspire,aspiracja
assassination,zabójstwo
assault,atak
assault,atak
assemble,montaż
assembly,montaż
assert,twierdzenie
assertion,zapewnienie
assess,oceniać
assessment,ocena
asset,zasób
assign,przydział
assignment,zadanie
assist,asystent
assistance,pomoc
assistant,asystent
assistant,asystent
associate,współpracownik
associated,powiązany
association,stowarzyszenie
assume,zakładać
assumption,założenie
assurance,zapewnienie
assure,zapewnienie
astonishing,zadziwiający
asylum,azyl
at,na
athlete,sportowiec
atmosphere,atmosfera
atrocity,okrucieństwo
attach,dołączyć
attachment,załącznik
attack,atak
attack,atak
attain,osiągnięcie
attempt,próba
attempt,próba
attend,uczestniczyć
attendance,obecność
attention,uwaga
attention,uwaga
attitude,nastawienie
attorney,pełnomocnik
attract,przyciągać
attraction,atrakcyjność
attractive,atrakcyjny
attribute,atrybut
attribute,atrybut
auction,aukcja
audience,publiczność
audio,audio
audit,audyt
August,Sierpień
aunt,ciotka
authentic,autentyczny
author,autor
authority,władza
authorize,autoryzować
auto,auto
automatic,automatyczny
automatically,automatycznie
autonomy,autonomia
autumn,jesień
availability,dostępność
available,dostępny
average,średnia
average,średnia
average,średnia
avoid,unikać
await,czekać
award,nagroda
award,nagroda
aware,świadomy
awareness,świadomość
away,odjazd
awful,okropny
awkward,niezręczny
baby,dziecko
back,z powrotem
back,z powrotem
back,z powrotem
back,z powrotem
backdrop,tło
background,tło
backing,podkład
backup,kopia zapasowa
backwards,do tyłu
bacteria,bakterie
bad,zły
badge,odznaka
badly,źle
bag,torba
bail,kaucja
bake,wypiek
balance,równowaga
balance,równowaga
balanced,zrównoważony
ball,piłka
ballet,balet
balloon,balon
ballot,karta do głosowania
ban,zakaz
ban,zakaz
banana,banan
band,zespół
bank,bank
banner,baner
bar,pasek
bar,pasek
bare,nagi
barely,ledwo
bargain,okazja
barrel,beczka
barrier,bariera
base,baza
base,baza
baseball,baseball
based,oparty
basement,piwnica
basic,podstawowy
basically,w zasadzie
basis,podstawa
basket,kosz
basketball,koszykówka
bass,bas
bat,nietoperz
bat,nietoperz
bath,kąpiel
bathroom,łazienka
battery,bateria
battle,bitwa
battle,bitwa
battlefield,pole bitwy
bay,zatoka
be,być
be,być
beach,plaża
beam,wiązka
bean,fasola
bear,niedźwiedź
bear,niedźwiedź
beast,bestia
beat,rytm
beat,rytm
beautiful,piękny
beauty,piękno
because,ponieważ
become,stać się
bed,łóżko
bedroom,sypialnia
bee,pszczoła
beef,wołowina
beer,piwo
before,przed
before,przed
before,przed
beg,początek
begin,początek
beginning,początek
behalf,nazwa
behave,zachowywać się
behaviour,zachowanie
behind,z tyłu
behind,z tyłu
being,bycie
belief,przekonanie
believe,wierzyć
bell,dzwonek
belong,należeć
beloved,ukochany
below,poniżej
below,poniżej
belt,pas
bench,ławka
benchmark,punkt odniesienia
bend,zgięcie
bend,zgięcie
beneath,poniżej
beneficial,korzystny
beneficiary,beneficjent
benefit,korzyść
benefit,korzyść
bent,wygięty
beside,obok
besides,poza tym
besides,poza tym
best,najlepszy
best,najlepszy
best,najlepszy
bet,zakład
bet,zakład
betray,zdradzać
better,lepszy
better,lepszy
better,lepszy
between,pomiędzy
between,pomiędzy
beyond,poza
beyond,poza
bias,stronniczość
bicycle,rower
bid,oferta
bid,oferta
big,duży
bike,rower
bill,rachunek
bill,rachunek
billion,miliard
bin,kosz
bind,wiązanie
biography,biografia
biological,biologiczny
biology,biologia
bird,ptak
birth,narodziny
birthday,urodziny
biscuit,herbatnik
bishop,biskup
bit,bit
bite,ugryzienie
bite,ugryzienie
bitter,gorzki
bizarre,dziwaczny
black,czarny
black,czarny
blade,ostrze
blame,wina
blame,wina
blank,pusty
blank,pusty
blanket,koc
blast,wybuch
blast,wybuch
bleed,krwawienie
blend,mieszanka
blend,mieszanka
bless,błogosławieństwo
blessing,błogosławieństwo
blind,niewidomy
block,blok
block,blok
blog,blog
blonde,blondynka
blood,krew
blow,cios
blow,cios
blue,niebieski
blue,niebieski
board,tablica
board,tablica
boast,przechwałka
boat,łódź
body,ciało
boil,gotować się
bold,pogrubiony
bomb,bomba
bomb,bomba
bombing,bombardowanie
bond,wiązanie
bone,kość
bonus,premia
book,książka
book,książka
booking,rezerwacja
boom,wysięgnik
boost,wzrost
boost,wzrost
boot,bagażnik
border,granica
border,granica
bored,znudzony
boring,nudny
born,urodzony
borrow,pożyczka
boss,szef
both,oba
both,oba
bother,kłopot
bottle,butelka
bottom,dno
bottom,dno
bounce,odbicie
bound,związany
boundary,granica
bow,łuk
bow,łuk
bowl,miska
box,pudełko
boy,chłopiec
boyfriend,chłopak
brain,mózg
branch,oddział
brand,marka
brand,marka
brave,odważny
breach,naruszenie
breach,naruszenie
bread,chleb
break,przerwa
break,przerwa
breakdown,podział
breakfast,śniadanie
breakthrough,przełom
breast,pierś
breath,oddech
breathe,oddychać
breathing,oddychanie
breed,rasa
breed,rasa
brick,cegła
bride,panna młoda
bridge,most
brief,krótki
briefly,krótko
bright,jasny
brilliant,genialny
bring,przynieść
broad,szeroki
broadband,szerokopasmowy
broadcast,transmisja
broadcast,transmisja
broadcaster,nadawca
broadly,szeroko
broken,złamany
brother,brat
brown,brązowy
brown,brązowy
browser,przeglądarka
brush,szczotka
brush,szczotka
brutal,brutalny
bubble,bańka
buck,wiadro
buddy,kumpel
budget,budżet
buffer,bufor
bug,błąd
build,budować
building,budynek
bulk,luzem
bullet,kula
bunch,grupa
burden,obciążenie
bureaucracy,biurokracja
burial,pochówek
burn,oparzenie
burn,oparzenie
burst,wybuch
bury,grzebać
bus,autobus
bush,krzak
business,biznes
businessman,biznesmen
busy,zajęty
but,ale
but,ale
butter,masło
button,przycisk
buy,kupować
by,przez
by,przez
bye,do widzenia
cabin,kabina
cabinet,szafka
cable,kabel
cafe,kawiarnia
cake,ciasto
calculate,obliczać
calculation,kalkulacja
call,połączenie
call,połączenie
calm,spokój
calm,spokój
calm,spokój
camera,kamera
camp,obóz
camp,obóz
campaign,kampania
campaign,kampania
camping,kemping
campus,kampus
can,puszka
can,puszka
canal,kanał
cancel,anulować
cancer,rak
candidate,kandydat
candle,świeca
cannot,nie może
canvas,płótno
cap,czapka
capability,zdolność
capable,zdolny
capacity,pojemność
capital,kapitał
capital,kapitał
capitalism,kapitalizm
capitalist,kapitalista
captain,kapitan
capture,przechwytywanie
capture,przechwytywanie
car,samochód
carbon,węgiel
card,karta
care,opieka
care,opieka
career,kariera
careful,ostrożny
carefully,ostrożnie
careless,nieostrożny
cargo,ładunek
carpet,dywan
carriage,przewóz
carrot,marchew
carry,nosić
cartoon,kreskówka
carve,rzeźba
case,przypadek
cash,gotówka
casino,kasyno
cast,obsada
cast,obsada
castle,zamek
casual,swobodny
casualty,wypadek
cat,kot
catalogue,katalog
catch,połów
catch,połów
category,kategoria
cater,zbiornik
cattle,bydło
cause,przyczyna
cause,przyczyna
caution,ostrożność
cautious,ostrożny
cave,jaskinia
CD,CD
cease,zaprzestać
ceiling,sufit
celebrate,świętować
celebration,uroczystość
celebrity,celebryta
cell,komórka
cemetery,cmentarz
cent,cent
central,centralny
centre,centrum
centre,centrum
century,wiek
ceremony,ceremonia
certain,pewny
certainly,z pewnością
certainty,pewność
certificate,certyfikat
chain,łańcuch
chain,łańcuch
chair,krzesło
chair,krzesło
chairman,przewodniczący
challenge,wyzwanie
challenge,wyzwanie
challenging,wymagający
chamber,komora
champion,mistrz
championship,mistrzostwa
chance,szansa
change,zmiana
change,zmiana
channel,kanał
chaos,chaos
chapter,rozdział
character,charakter
characteristic,charakterystyka
characteristic,charakterystyka
characterize,charakteryzować
charge,opłata
charge,opłata
charity,dobroczynność
charm,urok
charming,czarujący
chart,wykres
chart,wykres
charter,karta
chase,pościg
chase,pościg
chat,czat
chat,czat
cheap,tani
cheap,tani
cheat,oszukiwać
cheat,oszukiwać
check,czek
check,czek
cheek,policzek
cheer,doping
cheer,doping
cheerful,wesoły
cheese,ser
chef,szef kuchni
chemical,chemiczny
chemical,chemiczny
chemistry,chemia
chest,skrzynia
chicken,kurczak
chief,szef
chief,szef
child,dziecko
childhood,dzieciństwo
chip,chip
chocolate,czekolada
choice,wybór
choir,chór
choose,wybór
chop,kotlet
chronic,przewlekły
chunk,kawałek
church,kościół
cigarette,papieros
cinema,kino
circle,koło
circle,koło
circuit,obwód
circulate,krążyć
circulation,obieg
circumstance,okoliczność
cite,cytat
citizen,obywatel
citizenship,obywatelstwo
city,miasto
civic,obywatelski
civil,cywilny
civilian,cywilny
civilian,cywilny
civilization,cywilizacja
claim,roszczenie
claim,roszczenie
clarify,wyjaśnienie
clarity,przejrzystość
clash,starcie
class,klasa
classic,klasyczny
classic,klasyczny
classical,klasyczny
classification,klasyfikacja
classify,klasyfikować
classroom,klasa
clause,klauzula
clean,czysty
clean,czysty
cleaning,czyszczenie
clear,czysty
clear,czysty
clearly,wyraźnie
clerk,urzędnik
clever,sprytny
click,kliknięcie
click,kliknięcie
client,klient
cliff,klif
climate,klimat
climb,wspinaczka
climb,wspinaczka
cling,przyleganie
clinic,klinika
clinical,kliniczny
clip,klip
clock,zegar
close,blisko
close,blisko
close,blisko
close,blisko
closed,zamknięty
closely,blisko
closure,zamknięcie
cloth,tkanina
clothes,ubrania
clothing,odzież
cloud,chmura
club,klub
clue,wskazówka
cluster,klaster
coach,trener
coach,trener
coal,węgiel
coalition,koalicja
coast,wybrzeże
coastal,przybrzeżny
coat,płaszcz
cocktail,koktajl
code,kod
coffee,kawa
cognitive,poznawczy
coin,moneta
coincide,zbiegać się
coincidence,zbieg okoliczności
cold,zimno
cold,zimno
collaborate,współpracować
collaboration,współpraca
collapse,upadek
collapse,upadek
colleague,kolega
collect,zbierać
collection,kolekcja
collective,zbiorowy
collector,kolektor
college,uczelnia
collision,kolizja
colonial,kolonialny
colony,kolonia
colour,kolor
coloured,kolorowy
colourful,kolorowy
column,kolumna
columnist,felietonista
combat,walka
combat,walka
combination,połączenie
combine,połączenie
come,przyjść
comedy,komedia
comfort,komfort
comfort,komfort
comfortable,wygodny
comic,komiks
comic,komiks
command,polecenie
command,polecenie
commander,dowódca
commence,początek
comment,komentarz
comment,komentarz
commentary,komentarz
commentator,komentator
commerce,handel
commercial,komercyjny
commercial,komercyjny
commission,prowizja
commission,prowizja
commissioner,komisarz
commit,zobowiązanie
commitment,zobowiązanie
committee,komisja
commodity,towar
common,wspólny
commonly,powszechnie
communicate,komunikować się
communication,komunikacja
communist,komunista
community,społeczność
companion,towarzysz
company,firma
comparable,porównywalny
comparative,porównawczy
compare,porównać
comparison,porównanie
compassion,współczucie
compel,zmuszać
compelling,zniewalający
compensate,zrekompensować
compensation,rekompensata
compete,konkurować
competence,kompetencja
competent,kompetentny
competition,konkurencja
competitive,konkurencyjny
competitor,konkurent
compile,kompilacja
complain,narzekać
complaint,skarga
complement,uzupełnienie
complete,kompletny
complete,kompletny
completely,całkowicie
completion,zakończenie
complex,złożony
complex,złożony
complexity,złożoność
compliance,zgodność
complicated,skomplikowany
complication,komplikacja
comply,zgodny
component,składnik
compose,komponować
composer,kompozytor
composition,skład
compound,związek
comprehensive,kompleksowy
comprise,obejmować
compromise,kompromis
compromise,kompromis
compulsory,obowiązkowy
compute,obliczać
computer,komputer
conceal,ukrycie
concede,przyznać się
conceive,począć
concentrate,koncentrat
concentration,koncentracja
concept,koncepcja
conception,koncepcja
concern,obawa
concern,obawa
concerned,zainteresowany
concert,koncert
concession,koncesja
conclude,zawrzeć
conclusion,wniosek
concrete,beton
concrete,beton
condemn,potępienie
condition,stan
conduct,zachowanie
conduct,zachowanie
confer,konferencja
conference,konferencja
confess,przyznać się
confession,wyznanie
confidence,zaufanie
confident,pewny siebie
configuration,konfiguracja
confine,ograniczenie
confirm,potwierdzać
confirmation,potwierdzenie
conflict,konflikt
conflict,konflikt
confront,konfrontacja
confrontation,konfrontacja
confuse,dezorientacja
confused,zdezorientowany
confusing,mylący
confusion,zamieszanie
congratulate,gratulacje
congregation,zgromadzenie
congressional,kongresowy
connect,połączenie
connected,połączony
connection,połączenie
conquer,podbój
conscience,sumienie
conscious,świadomy
consciousness,świadomość
consecutive,kolejny
consensus,konsensus
consent,zgoda
consent,zgoda
consequence,konsekwencja
consequently,w konsekwencji
conservation,konserwacja
conservative,konserwatywny
conservative,konserwatywny
conserve,ochrona
consider,rozważać
considerable,znaczny
considerably,znacznie
consideration,rozważanie
consist,składać się
consistency,spójność
consistent,spójny
consistently,konsekwentnie
consolidate,konsolidować
conspiracy,spisek
constant,stały
constantly,stale
constituency,okręg wyborczy
constitute,stanowić
constitution,konstytucja
constitutional,konstytucyjny
constraint,ograniczenie
construct,konstrukcja
construction,konstrukcja
consult,konsultacja
consultant,konsultant
consultation,konsultacja
consume,konsumpcja
consumer,konsument
consumption,zużycie
contact,kontakt
contact,kontakt
contain,zawierać
container,pojemnik
contemplate,kontemplować
contemporary,współczesny
contempt,pogarda
contend,utrzymywać się
contender,pretendent
content,zawartość
content,zawartość
contention,spór
contest,konkurs
contest,konkurs
context,kontekst
continent,kontynent
continually,nieustannie
continue,kontynuować
continuous,ciągły
contract,umowa
contract,umowa
contractor,wykonawca
contradiction,sprzeczność
contrary,przeciwnie
contrary,przeciwnie
contrast,kontrast
contrast,kontrast
contribute,wkład
contribution,wkład
contributor,kontrybutor
control,kontrola
control,kontrola
controversial,kontrowersyjny
controversy,kontrowersja
convenience,wygoda
convenient,wygodny
convention,konwencja
conventional,konwencjonalny
conversation,rozmowa
conversion,konwersja
convert,konwersja
convey,przenośnik
convict,skazaniec
conviction,przekonanie
convince,przekonać
convinced,przekonany
convincing,przekonujący
cook,kucharz
cook,kucharz
cooker,kuchenka
cooking,gotowanie
cool,fajny
cool,fajny
cooperate,współpracować
cooperative,spółdzielnia
coordinate,współrzędna
coordination,koordynacja
coordinator,koordynator
cop,policjant
cope,radzić sobie
copper,miedź
copy,kopia
copy,kopia
copyright,prawa autorskie
core,rdzeń
core,rdzeń
corner,narożnik
corporate,korporacyjny
corporation,korporacja
correct,poprawny
correct,poprawny
correction,korekta
correctly,prawidłowo
correlate,korelować
correlation,korelacja
correspond,korespondować
correspondence,korespondencja
correspondent,korespondent
corresponding,odpowiadający
corridor,korytarz
corrupt,skorumpowany
corruption,korupcja
cost,koszt
cost,koszt
costly,kosztowny
costume,kostium
cottage,domek
cotton,bawełna
could,może
council,rada
councillor,radny
counselling,doradztwo
counsellor,doradca
count,liczyć
count,liczyć
counter,licznik
counter,licznik
counterpart,odpowiednik
countless,niezliczony
country,kraj
countryside,wieś
county,powiat
coup,zamach stanu
couple,para
courage,odwaga
course,kurs
court,sąd
courtesy,uprzejmość
cousin,kuzyn
cover,okładka
cover,okładka
coverage,zasięg
covered,objęty
cow,krowa
crack,pęknięcie
crack,pęknięcie
craft,rzemiosło
craft,rzemiosło
crash,awaria
crash,awaria
crawl,czołgać się
crazy,szalony
cream,krem
cream,krem
create,tworzyć
creation,kreacja
creative,kreatywny
creativity,kreatywność
creator,twórca
creature,stworzenie
credibility,wiarygodność
credible,wiarygodny
credit,kredyt
credit,kredyt
creep,pełzanie
crew,załoga
crime,przestępstwo
criminal,przestępca
criminal,przestępca
crisis,kryzys
criterion,kryterium
critic,krytyk
critical,krytyczny
critically,krytycznie
criticism,krytyka
criticize,krytykować
critique,krytyka
crop,uprawa
cross,krzyż
cross,krzyż
crowd,tłum
crowded,zatłoczony
crown,korona
crucial,kluczowy
crude,surowy
cruel,okrutny
cruise,rejs
cruise,rejs
crush,zmiażdżenie
cry,płacz
cry,płacz
crystal,kryształ
cue,wskazówka
cult,kultowy
cult,kultowy
cultivate,kultywować
cultural,kulturalny
culture,kultura
cup,filiżanka
cupboard,szafka
cure,wyleczenie
cure,wyleczenie
curiosity,ciekawość
curious,ciekawy
curly,kędzierzawy
currency,waluta
current,bieżący
current,bieżący
currently,obecnie
curriculum,program nauczania
curtain,kurtyna
curve,krzywa
curve,krzywa
curved,zakrzywiony
custody,opieka
custom,niestandardowy
customer,klient
cut,cięcie
cut,cięcie
cute,słodki
cutting,cięcie
cycle,cykl
cycle,cykl
cynical,cyniczny
dad,tata
daily,codzienny
daily,codzienny
dairy,nabiał
dairy,nabiał
dam,tama
damage,uszkodzenie
damage,uszkodzenie
damaging,szkodliwy
dance,taniec
dance,taniec
dancer,tancerz
dancing,taniec
danger,niebezpieczeństwo
dangerous,niebezpieczny
dare,odwaga
dark,ciemność
dark,ciemność
darkness,ciemność
data,dane
database,baza danych
date,data
date,data
daughter,córka
dawn,świt
day,dzień
dead,martwy
deadline,termin
deadly,śmiertelny
deal,transakcja
deal,transakcja
dealer,dealer
dear,drogi
dear,drogi
death,śmierć
debate,debata
debate,debata
debris,gruz
debt,dług
debut,debiut
decade,dekada
December,Grudzień
decent,przyzwoity
decide,decydować
decision,decyzja
decision-making,podejmowanie decyzji
decisive,decydujący
deck,pokład
declaration,deklaracja
declare,deklaracja
decline,spadek
decline,spadek
decorate,dekoracja
decoration,dekoracja
decrease,spadek
decrease,spadek
dedicated,dedykowany
dedication,poświęcenie
deed,czyn
deem,uważać
deep,głęboki
deep,głęboki
deeply,głęboko
default,domyślny
defeat,porażka
defeat,porażka
defect,wada
defence,obrona
defend,bronić
defender,obrońca
defensive,defensywny
deficiency,niedobór
deficit,deficyt
define,definiować
definite,określony
definitely,zdecydowanie
definition,definicja
defy,przeciwstawiać się
degree,stopień
delay,opóźnienie
delay,opóźnienie
delegate,delegat
delegation,delegacja
delete,usunąć
deliberate,celowy
deliberately,celowo
delicate,delikatny
delicious,pyszny
delight,rozkosz
delight,rozkosz
delighted,zachwycony
deliver,dostarczać
delivery,dostawa
demand,popyt
demand,popyt
democracy,demokracja
democratic,demokratyczny
demon,demon
demonstrate,demonstrować
demonstration,demonstracja
denial,zaprzeczenie
denounce,potępienie
dense,gęsty
density,gęstość
dentist,dentysta
deny,zaprzeczenie
depart,odlot
department,dział
departure,odlot
depend,zależność
dependence,zależność
dependent,zależny
depict,obraz
deploy,wdrożenie
deployment,wdrożenie
deposit,depozyt
deposit,depozyt
depressed,przygnębiony
depressing,przygnębiający
depression,depresja
deprive,pozbawiać
depth,głębokość
deputy,zastępca
derive,czerpać
descend,zejść
descent,zejście
describe,opisywać
description,opis
desert,pustynia
desert,pustynia
deserve,zasługa
design,projekt
design,projekt
designate,wyznaczyć
designer,projektant
desirable,pożądany
desire,pragnienie
desire,pragnienie
desk,biurko
desktop,pulpit
desperate,zdesperowany
desperately,rozpaczliwie
despite,pomimo
destination,miejsce docelowe
destroy,zniszczyć
destruction,zniszczenie
destructive,destrukcyjny
detail,szczegół
detail,szczegół
detailed,szczegółowy
detain,zatrzymanie
detect,wykrycie
detection,wykrywanie
detective,detektyw
detention,zatrzymanie
deteriorate,pogorszyć się
determination,determinacja
determine,określać
determined,określony
devastate,zniszczyć
develop,rozwijać się
development,rozwój
device,urządzenie
devil,diabeł
devise,obmyślać
devote,poświęcenie
diagnose,diagnoza
diagnosis,diagnoza
diagram,wykres
dialogue,dialog
diamond,diament
diary,pamiętnik
dictate,dyktować
dictator,dyktator
dictionary,słownik
die,umierać
diet,dieta
differ,różnić się
difference,różnica
different,inny
differentiate,rozróżniać
differently,inaczej
difficult,trudny
difficulty,trudność
dig,kopać
digital,cyfrowy
dignity,godność
dilemma,dylemat
dimension,wymiar
diminish,zmniejszać się
dinner,kolacja
dip,zanurzenie
diplomat,dyplomata
diplomatic,dyplomatyczny
direct,bezpośredni
direct,bezpośredni
direct,bezpośredni
direction,kierunek
directly,bezpośrednio
director,dyrektor
directory,katalog
dirt,brud
dirty,brudny
disability,niepełnosprawność
disabled,wyłączony
disadvantage,wada
disagree,nie zgadzać się
disagreement,niezgoda
disappear,zniknąć
disappoint,rozczarowanie
disappointed,rozczarowany
disappointing,rozczarowujący
disappointment,rozczarowanie
disaster,katastrofa
disastrous,katastrofalny
disc,dysk
discard,odrzut
discharge,absolutorium
discipline,dyscyplina
disclose,ujawniać
disclosure,ujawnienie
discount,rabat
discount,rabat
discourage,zniechęcać
discourse,dyskurs
discover,odkrycie
discovery,odkrycie
discretion,dyskrecja
discrimination,dyskryminacja
discuss,dyskutować
discussion,dyskusja
disease,choroba
dish,danie
dishonest,nieuczciwy
disk,dysk
dislike,niechęć
dislike,niechęć
dismiss,zwolnienie
dismissal,zwolnienie
disorder,zaburzenie
displace,wypierać
display,wyświetlacz
display,wyświetlacz
disposal,utylizacja
dispose,utylizacja
dispute,spór
dispute,spór
disrupt,zakłócać
disruption,zakłócenie
dissolve,rozpuszczać się
distance,odległość
distant,odległy
distinct,wyraźny
distinction,wyróżnienie
distinctive,charakterystyczny
distinguish,rozróżniać
distort,zniekształcenie
distract,rozproszenie
distress,niepokój
distress,niepokój
distribute,dystrybucja
distribution,dystrybucja
district,okręg
disturb,przeszkadzać
disturbing,niepokojący
dive,nurkowanie
dive,nurkowanie
diverse,zróżnicowany
diversity,różnorodność
divert,przekierowanie
divide,podział
divide,podział
divine,boski
division,podział
divorce,rozwód
divorce,rozwód
divorced,rozwiedziony
do,robić
do,robić
doctor,lekarz
doctrine,doktryna
document,dokument
document,dokument
documentary,dokument
documentation,dokumentacja
dog,pies
dollar,dolar
domain,domena
domestic,krajowy
dominance,dominacja
dominant,dominujący
dominate,dominować
donate,darowizna
donation,darowizna
donor,dawca
door,drzwi
dose,dawka
dot,kropka
double,podwójny
double,podwójny
double,podwójny
double,podwójny
double,podwójny
doubt,wątpliwość
doubt,wątpliwość
down,w dół
down,w dół
download,pobieranie
download,pobieranie
downstairs,na dole
downstairs,na dole
downtown,centrum miasta
downtown,centrum miasta
downtown,centrum miasta
downwards,w dół
dozen,tuzin
dozen,tuzin
draft,projekt
draft,projekt
drag,przeciąganie
drain,odpływ
drama,dramat
dramatic,dramatyczny
dramatically,dramatycznie
draw,losowanie
drawing,rysunek
dream,marzenie
dream,marzenie
dress,sukienka
dress,sukienka
dressed,ubrany
drift,dryf
drink,napój
