English,German
breach,Verletzung
bread,Brot
break,Pause
break,Pause
breakdown,Panne
breakfast,Frühstück
breakthrough,bahnbrechend
breast,Brust
breath,Atem
breathe,atmen
breathing,Atmen
breed,züchten
breed,züchten
brick,Ziegelstein
bride,braut
bridge,Brücke
brief,kurz
briefly,kurz
bright,hell
brilliant,brillant
bring,bringen
broad,breit
broadband,Breitband
broadcast,Sendung
broadcast,Sendung
broadcaster,Fernsehveranstalter
broadly,Im Großen und Ganzen
broken,gebrochen
brother,Bruder
brown,braun
brown,braun
browser,Browser
brush,Bürste
brush,Bürste
brutal,brutal
bubble,Blase
buck,Bock
buddy,Kumpel
budget,Haushalt
buffer,Puffer
bug,Fehler
build,bauen
building,Gebäude
bulk,Masse
bullet,Aufzählung
bunch,Bündel
burden,Belastung
bureaucracy,Bürokratie
burial,Beerdigung
burn,brennen
burn,brennen
burst,platzen
bury,begraben.
bus,Bus
bush,Busch
business,Unternehmen
businessman,Geschäftsmann
busy,beschäftigt
but,sondern
but,sondern
butter,Butter
button,Taste
buy,kaufen
by,von
by,von
bye,tschüss
cabin,Kabine
cabinet,Schrank
cable,Kabel
cafe,Cafe
cake,Kuchen
calculate,berechnen
calculation,Berechnung
call,aufrufen
call,aufrufen
calm,ruhig
calm,ruhig
calm,ruhig
camera,Kamera
camp,Lager
camp,Lager
campaign,Kampagne
campaign,Kampagne
camping,Camping
campus,Campus
can,kann
can,kann
canal,kanal
cancel,kündigen
cancer,Krebs
candidate,Kandidat
candle,Kerze
cannot,kann nicht
canvas,Leinwand
cap,Kappe
capability,Fähigkeit
capable,fähig
capacity,Kapazität
capital,Kapital
capital,Kapital
capitalism,Kapitalismus
capitalist,kapitalistische
captain,Kapitän
capture,erfassen
capture,erfassen
car,Auto
carbon,Kohlenstoff
card,Karte
care,Pflege
care,Pflege
career,Karriere
careful,vorsichtig
carefully,sorgfältig
careless,achtlos
cargo,Fracht
carpet,Teppich
carriage,Wagen
carrot,Karotte
carry,tragen
cartoon,Cartoon
carve,schnitzen
case,Fall
cash,Bargeld
casino,Kasino
cast,gießen
cast,gießen
castle,Schloss
casual,lässig
casualty,Unfall
cat,Katze
catalogue,Katalog
catch,fangen
catch,fangen
category,Kategorie
cater,Verpflegung
cattle,Vieh
cause,verursachen
cause,verursachen
caution,Vorsicht
cautious,vorsichtig
cave,Höhle
CD,CD
cease,aufhören
ceiling,Decke
celebrate,feiern
celebration,Feier
celebrity,Berühmtheit
cell,Zelle
cemetery,Friedhof
cent,Cent
central,zentral
centre,Zentrum
centre,Zentrum
century,Jahrhundert
ceremony,Zeremonie
certain,bestimmte
certainly,sicherlich
certainty,Gewissheit
certificate,Zertifikat
chain,Kette
chain,Kette
chair,Stuhl
chair,Stuhl
chairman,Vorsitzender
challenge,Herausforderung
challenge,Herausforderung
challenging,herausfordernd
chamber,Kammer
champion,Meister
championship,Meisterschaft
chance,Chance
change,ändern
change,ändern
channel,Kanal
chaos,chaos
chapter,Kapitel
character,Zeichen
characteristic,Merkmal
characteristic,Merkmal
characterize,charakterisieren
charge,Gebühr
charge,Gebühr
charity,Wohltätigkeit
charm,Charme
charming,charmant
chart,Karte
chart,Karte
charter,Charter
chase,Verfolgung
chase,Verfolgung
chat,Chat
chat,Chat
cheap,billig
cheap,billig
cheat,schummeln
cheat,schummeln
check,siehe
check,siehe
cheek,Wange
cheer,jubeln
cheer,jubeln
cheerful,heiter
cheese,Käse
chef,Chefkoch
chemical,Chemie
chemical,Chemie
chemistry,Chemie
chest,Brust
chicken,Huhn
chief,Chef
chief,Chef
child,Kind
childhood,Kindheit
chip,Chip
chocolate,Schokolade
choice,Auswahl
choir,Chor
choose,wählen.
chop,Kotelett
chronic,chronisch
chunk,Stückchen
church,Kirche
cigarette,Zigarette
cinema,Kino
circle,Kreis
circle,Kreis
circuit,Schaltung
circulate,zirkulieren
circulation,.
circumstance,Umstand
cite,zitieren
citizen,Bürger
citizenship,Staatsbürgerschaft
city,Stadt
civic,zivilgesellschaftlich
civil,zivil
civilian,zivil
civilian,zivil
civilization,Zivilisation
claim,Anspruch
claim,Anspruch
clarify,klären.
clarity,Übersichtlichkeit
clash,clash
class,Klasse
classic,klassisch
classic,klassisch
classical,klassisch
classification,Klassifizierung
classify,einordnen.
classroom,Klassenzimmer
clause,Klausel
clean,sauber
clean,sauber
cleaning,Reinigung
clear,klar
clear,klar
clearly,eindeutig
clerk,Sachbearbeiter
clever,schlau
click,anklicken.
click,anklicken.
client,Kunde
cliff,Klippe
climate,Klima
climb,klettern
climb,klettern
cling,klammern
clinic,Klinik
clinical,klinisch
clip,Clip
clock,Uhr
close,schließen
close,schließen
close,schließen
close,schließen
closed,geschlossen
closely,eng
closure,Verschluss
cloth,Tuch
clothes,Kleidung
clothing,Kleidung
cloud,Wolke
club,Verein
clue,Hinweis
cluster,Cluster
coach,Coach
coach,Coach
coal,Kohle
coalition,Koalition
coast,Küste
coastal,Küste
coat,Mantel
cocktail,Cocktail
code,Code
coffee,Kaffee
cognitive,kognitiv
coin,Münze
coincide,übereinstimmen
coincidence,Zufall
cold,kalt
cold,kalt
collaborate,zusammenarbeiten
collaboration,Zusammenarbeit
collapse,zusammenbrechen
collapse,zusammenbrechen
colleague,Kollege
collect,sammeln
collection,Sammlung
collective,kollektiv
collector,Kollektor
college,Hochschule
collision,Kollision
colonial,kolonial
colony,Kolonie
colour,Farbe
coloured,farbig
colourful,bunt
column,Spalte
columnist,Kolumnist
combat,Kampf
combat,Kampf
combination,Kombination
combine,Mähdrescher
come,kommen
comedy,Komödie
comfort,Komfort
comfort,Komfort
comfortable,bequem
comic,comic
comic,comic
command,Befehl
command,Befehl
commander,Kommandeur
commence,beginnen.
comment,Kommentar
comment,Kommentar
commentary,Kommentar
commentator,Kommentator
commerce,Handel
commercial,kommerziell
commercial,kommerziell
commission,.
commission,.
commissioner,Kommissar
commit,übergeben.
commitment,Engagement
committee,Ausschuss
commodity,Ware
common,gemeinsame
commonly,allgemein
communicate,kommunizieren
communication,Kommunikation
communist,kommunistisch
community,Gemeinschaft
companion,Begleiter
company,Unternehmen
comparable,vergleichbar
comparative,vergleichend
compare,vergleichen
comparison,Vergleich
compassion,Mitgefühl
compel,zwingen
compelling,Zwingend
compensate,kompensieren
compensation,Entschädigung
compete,konkurrieren
competence,Kompetenz
competent,kompetent
competition,Wettbewerb
competitive,wettbewerbsfähig
competitor,Mitbewerber
compile,kompilieren
complain,beschweren
complaint,Beschwerde
complement,ergänzen
complete,vollständig
complete,vollständig
completely,vollständig
completion,Fertigstellung
complex,komplex
complex,komplex
complexity,Komplexität
compliance,Compliance
complicated,kompliziert
complication,Komplikation
comply,entsprechen
component,Komponente
compose,verfassen.
composer,Komponist
composition,Zusammensetzung
compound,Verbindung
comprehensive,umfassend
comprise,umfassen
compromise,Kompromiss
compromise,Kompromiss
compulsory,obligatorisch
compute,berechnen Sie
computer,Computer
conceal,verbergen
concede,konzedieren
conceive,konzipieren
concentrate,Konzentrat
concentration,Konzentration
concept,Konzept
conception,Konzeption
concern,Anliegen
concern,Anliegen
concerned,betroffen
concert,Konzert
concession,Konzession
conclude,schließen
conclusion,Schlussfolgerung
concrete,Beton
concrete,Beton
condemn,verurteilen.
condition,Zustand
conduct,durchführen
conduct,durchführen
confer,konferieren
conference,Konferenz
confess,bekennen
confession,Beichte
confidence,Vertrauen
confident,selbstbewusst
configuration,Konfiguration
confine,beschränken
confirm,bestätigen.
confirmation,Bestätigung
conflict,Konflikt
conflict,Konflikt
confront,konfrontieren
confrontation,Konfrontation
confuse,verwirren
confused,verwirrt
confusing,verwirrend
confusion,Verwirrung
congratulate,gratulieren
congregation,Gemeinde
congressional,Kongress
connect,verbinden
connected,verbunden
connection,Verbindung
conquer,erobern.
conscience,Gewissen
conscious,bewusst
consciousness,Bewusstsein
consecutive,fortlaufend
consensus,Konsens
consent,Zustimmung
consent,Zustimmung
consequence,Folge
consequently,folglich
conservation,Erhaltung
conservative,konservativ
conservative,konservativ
conserve,konservieren
consider,berücksichtigen.
considerable,beachtlich
considerably,erheblich
consideration,Berücksichtigung
consist,bestehen
consistency,Konsistenz
consistent,einheitlich
consistently,durchgehend
consolidate,konsolidieren
conspiracy,Verschwörung
constant,Konstante
constantly,ständig
constituency,Wahlkreis
constitute,bilden
constitution,Verfassung
constitutional,Verfassung
constraint,Einschränkung
construct,konstruieren
construction,Konstruktion
consult,konsultieren.
consultant,Berater
consultation,Beratung
consume,verbrauchen
consumer,Verbraucher
consumption,Verbrauch
contact,Kontakt
contact,Kontakt
contain,enthalten
container,Container
contemplate,betrachten.
contemporary,zeitgemäß
contempt,Verachtung
contend,konkurrieren
contender,Anwärter
content,Inhalt
content,Inhalt
contention,Streitfall
contest,Wettbewerb
contest,Wettbewerb
context,Kontext
continent,Kontinent
continually,ständig
continue,weiter
continuous,kontinuierlich
contract,Vertrag
contract,Vertrag
contractor,Auftragnehmer
contradiction,Widerspruch
contrary,gegen
contrary,gegen
contrast,Kontrast
contrast,Kontrast
contribute,beitragen
contribution,Beitrag
contributor,Beitragszahler
control,Kontrolle
control,Kontrolle
controversial,umstritten
controversy,Kontroverse
convenience,Bequemlichkeit
convenient,bequem
convention,Tagung
conventional,konventionell
conversation,Gespräch
conversion,Umwandlung
convert,konvertieren
convey,übermitteln.
convict,Sträfling
conviction,Verurteilung
convince,überzeugen
convinced,überzeugt
convincing,überzeugend
cook,kochen
cook,kochen
cooker,Herd
cooking,Kochen
cool,cool
cool,cool
cooperate,zusammenarbeiten
cooperative,Genossenschaft
coordinate,koordinieren
coordination,Koordination
coordinator,Koordinator
cop,Polizist
cope,bewältigen
copper,Kupfer
copy,kopieren.
copy,kopieren.
copyright,Copyright
core,Kernstück
core,Kernstück
corner,Ecke
corporate,Unternehmen
corporation,Unternehmen
correct,richtig
correct,richtig
correction,Korrektur
correctly,richtig
correlate,korrelieren
correlation,Korrelation
correspond,entsprechen
correspondence,Korrespondenz
correspondent,Korrespondent
corresponding,Die entsprechende
corridor,Korridor
corrupt,korrupt
corruption,Korruption
cost,Kosten
cost,Kosten
costly,kostspielig
costume,Kostüm
cottage,Hütte
cotton,Baumwolle
could,könnte
council,Rat
councillor,Stadtrat
counselling,Beratung
counsellor,Beraterin
count,zählen
count,zählen
counter,Zähler
counter,Zähler
counterpart,Gegenstück
countless,unzählige
country,Land
countryside,Landleben
county,Landkreis
coup,Coup
couple,Paar
courage,Mut
course,Kurs
court,Gericht
courtesy,mit freundlicher Genehmigung
cousin,Cousine
cover,Abdeckung
cover,Abdeckung
coverage,Abdeckung
covered,überdacht
cow,Kuh
crack,Riss
crack,Riss
craft,Handwerk
craft,Handwerk
crash,Absturz
crash,Absturz
crawl,krabbeln
crazy,verrückt
cream,Creme
cream,Creme
create,erstellen.
creation,Erstellung
creative,kreativ
creativity,Kreativität
creator,Ersteller
creature,Lebewesen
credibility,Glaubwürdigkeit
credible,glaubwürdig
credit,Kredit
credit,Kredit
creep,Kriechen
crew,Mannschaft
crime,Verbrechen
criminal,kriminell
criminal,kriminell
crisis,Krise
criterion,Kriterium
critic,Kritik
critical,kritisch
critically,kritisch
criticism,Kritik
criticize,kritisieren
critique,Kritik
crop,Ernte
cross,Kreuz
cross,Kreuz
crowd,Menge
crowded,überfüllt
crown,Krone
crucial,entscheidend
crude,roh
cruel,grausam
cruise,Kreuzfahrt
cruise,Kreuzfahrt
crush,zerquetschen
cry,weinen
cry,weinen
crystal,Kristall
cue,Stichwort
cult,Kult
cult,Kult
cultivate,anbauen.
cultural,Kultur
culture,Kultur
cup,Tasse
cupboard,Schrank
cure,Heilung
cure,Heilung
curiosity,Neugierde
curious,neugierig
curly,kraus
currency,Währung
current,aktuell
current,aktuell
currently,derzeit
curriculum,Lehrplan
curtain,Vorhang
curve,Kurve
curve,Kurve
curved,gekrümmt
custody,Gewahrsam
custom,benutzerdefinierte
customer,Kunde
cut,schneiden
cut,schneiden
cute,niedlich
cutting,Schneiden
cycle,Zyklus
cycle,Zyklus
cynical,zynisch
dad,Papa
daily,täglich
daily,täglich
dairy,Molkerei
dairy,Molkerei
dam,Damm
damage,Schaden
damage,Schaden
damaging,schädlich
dance,tanzen
dance,tanzen
dancer,Tänzerin
dancing,Tanzen
danger,Gefahr
dangerous,gefährlich
dare,wagen
dark,dunkel
dark,dunkel
darkness,Dunkelheit
data,Daten
database,Datenbank
date,Datum
date,Datum
daughter,Tochter
dawn,Morgengrauen
day,Tag
dead,tot
deadline,Frist
deadly,tödlich
deal,Angebot
deal,Angebot
dealer,Händler
dear,liebe
dear,liebe
death,Tod
debate,Debatte
debate,Debatte
debris,Trümmer
debt,Schulden
debut,Debüt
decade,Jahrzehnt
December,Dezember
decent,anständig
decide,entscheiden
decision,Entscheidung
decision-making,Entscheidungsfindung
decisive,entscheidend
deck,Deck
declaration,Erklärung
declare,deklarieren
decline,Rückgang
decline,Rückgang
decorate,verzieren
decoration,Dekoration
decrease,verringern
decrease,verringern
dedicated,engagiert
dedication,Einweihung
deed,Urkunde
deem,betrachten.
deep,tief
deep,tief
deeply,tief
default,Standard
defeat,besiegen
defeat,besiegen
defect,Fehler
defence,Verteidigung
defend,verteidigen
defender,Verteidiger
defensive,Verteidigung
deficiency,Mangel
deficit,Defizit
define,definieren.
definite,definitiv
definitely,definitiv
definition,Definition
defy,trotzen.
degree,Grad
delay,Verzögerung
delay,Verzögerung
delegate,delegieren
delegation,Delegation
delete,löschen
deliberate,absichtlich
deliberately,absichtlich
delicate,zarte
delicious,lecker
delight,Freude
delight,Freude
delighted,erfreut
deliver,liefern
delivery,Lieferung
demand,Nachfrage
demand,Nachfrage
democracy,Demokratie
democratic,demokratisch
demon,Dämon
demonstrate,zeigen
demonstration,Vorführung
denial,Verweigerung
denounce,anprangern.
dense,Dichtes
density,Dichte
dentist,zahnarzt
deny,verweigern
depart,abreisen
department,Abteilung
departure,Abreise
depend,abhängen
dependence,Abhängigkeit
dependent,abhängig
depict,abbilden.
deploy,einsetzen.
deployment,Bereitstellung
deposit,Kaution
deposit,Kaution
depressed,deprimiert
depressing,deprimierend
depression,Depression
deprive,berauben
depth,Tiefe
deputy,Stellvertreter
derive,ableiten.
descend,Abstieg
descent,Abstieg
describe,beschreiben
description,Beschreibung
desert,Wüste
desert,Wüste
deserve,verdienen
design,Entwurf
design,Entwurf
designate,benennen.
designer,Designer
desirable,wünschenswert
desire,Wunsch
desire,Wunsch
desk,Schreibtisch
desktop,Desktop
desperate,verzweifelt
desperately,verzweifelt
despite,trotz
destination,Zielort
destroy,zerstören
destruction,Zerstörung
destructive,destruktiv
detail,Detail
detail,Detail
detailed,detailliert
detain,zurückhalten
detect,erkennen.
detection,Erkennung
detective,Detektiv
detention,Nachsitzen
deteriorate,verschlechtern
determination,Bestimmung
determine,ermitteln.
determined,bestimmt
devastate,verwüsten
develop,entwickeln.
development,Entwicklung
device,Gerät
devil,Teufel
devise,entwickeln.
devote,widmen.
diagnose,diagnostizieren.
diagnosis,Diagnose
diagram,Diagramm
dialogue,Dialog
diamond,Diamant
diary,Tagebuch
dictate,diktieren
dictator,Diktator
dictionary,Wörterbuch
die,die
diet,Diät
differ,abweichen
difference,Unterschied
different,verschiedene
differentiate,differenzieren
differently,anders
difficult,schwierig
difficulty,Schwierigkeit
dig,dig
digital,digital
dignity,Würde
dilemma,Dilemma
dimension,Dimension
diminish,vermindern
dinner,Abendessen
dip,dip
diplomat,Diplomat
diplomatic,diplomatisch
direct,direkt
direct,direkt
direct,direkt
direction,Richtung
directly,direkt
director,Direktor
directory,Verzeichnis
dirt,Schmutz
dirty,schmutzig
disability,Behinderung
disabled,deaktiviert
disadvantage,Nachteil
disagree,nicht zustimmen
disagreement,Meinungsverschiedenheiten
disappear,verschwinden
disappoint,enttäuschen
disappointed,enttäuscht
disappointing,enttäuschend
disappointment,Enttäuschung
disaster,Katastrophe
disastrous,Verheerend
disc,Scheibe
discard,verwerfen
discharge,Entladung
discipline,Disziplin
disclose,offenlegen
disclosure,Offenlegung
discount,Rabatt
discount,Rabatt
discourage,entmutigen
discourse,Diskurs
discover,entdecken
discovery,Entdeckung
discretion,Diskretion
discrimination,Diskriminierung
discuss,diskutieren
discussion,Diskussion
disease,Krankheit
dish,Gericht
dishonest,unehrlich
disk,Festplatte
dislike,nicht mögen
dislike,nicht mögen
dismiss,entlassen
dismissal,Entlassung
disorder,Störung
displace,verdrängen
display,Anzeige
display,Anzeige
disposal,Entsorgung
dispose,entsorgen
dispute,Streitfall
dispute,Streitfall
disrupt,stören.
disruption,Störung
dissolve,auflösen.
distance,Entfernung
distant,entfernte
distinct,deutlich
distinction,Auszeichnung
distinctive,Unverwechselbar
distinguish,unterscheiden.
distort,verzerren
distract,ablenken.
distress,Notruf
distress,Notruf
distribute,vertreiben
distribution,Vertrieb
district,Bezirk
disturb,stören.
disturbing,beunruhigend.
dive,Tauchen
dive,Tauchen
diverse,diverse
diversity,Vielfalt
divert,umleiten
divide,dividieren
divide,dividieren
